23.1.2006	B-Date
á	O
það	O
sem	O
maður	O
vill	O
ekki	O
sjá	O
annars	O
vegar	O
og	O
hins	O
vegar	O
samúð	O
með	O
fólki	O
sem	O
fylgst	O
er	O
með	O
af	O
ókunnugu	O
auga	O
.	O

Svo	O
veit	O
maður	O
heldur	O
aldrei	O
hverju	O
maður	O
á	O
að	O
trúa	O
.	O

Það	O
er	O
oft	O
heilmikið	O
að	O
gerast	O
utan	O
myndrammans	O
,	O
samtöl	O
sem	O
maður	O
á	O
að	O
heyra	O
og	O
fólk	O
að	O
brasa	O
.	O

Á	O
einum	O
stað	O
yfirgnæfa	O
hins	O
vegar	O
fréttir	O
í	O
sjónvarpinu	O
næstum	O
texta	O
.	O

Haneke	B-Person
fjallar	O
líka	O
um	O
óttann	O
sem	O
nútímamaðurinn	O
býr	O
við	O
,	O
ótta	O
við	O
að	O
stóri	O
bróðir	O
fylgist	O
með	O
hverju	O
fótspori	O
.	O

En	O
það	O
eru	O
margir	O
fletir	O
á	O
myndinni	O
.	O

Ekki	O
einungis	O
sá	O
augljósi	O
að	O
hún	O
sé	O
um	O
hvernig	O
gerð	O
sé	O
innrás	O
í	O
einkalíf	O
fólks	O
og	O
að	O
hún	O
sé	O
um	O
að	O
maður	O
komist	O
aldrei	O
undan	O
eigin	O
samvisku	O
.	O

Þó	O
maður	O
reyni	O
að	O
fela	O
sektarkendina	O
og	O
afneita	O
henni	O
kemst	O
maður	O
aldrei	O
frá	O
henni	O
.	O

Að	O
hvernig	O
sem	O
maður	O
byrgi	O
inni	O
og	O
reyni	O
að	O
gleyma	O
láti	O
samviskan	O
mann	O
aldrei	O
í	O
friði	O
.	O

Nei	O
,	O
það	O
er	O
annar	O
flötur	O
á	O
myndinni	O
sem	O
ég	O
hef	O
velt	O
mikið	O
fyrir	O
mér	O
þessa	O
daga	O
sem	O
liðnir	O
eru	O
frá	O
því	O
að	O
ég	O
sá	O
hana	O
.	O

Og	O
nú	O
ætla	O
ég	O
að	O
vara	O
þá	O
við	O
sem	O
eiga	O
eftir	O
að	O
sjá	O
myndina	O
.	O

Það	O
sem	O
ég	O
ætla	O
að	O
tala	O
um	O
hér	O
á	O
eftir	O
gæti	O
nefnilega	O
spillt	O
fyrir	O
upplifuninni	O
.	O

Svo	O
þeir	O
sem	O
ætla	O
sér	O
að	O
sjá	O
Caché	B-Miscellaneous
í	O
Háskólabíói	B-Organization
ættu	O
kannski	O
að	O
þagga	O
niður	O
í	O
mér	O
núna	O
,	O
skrúfa	O
niður	O
í	O
hljóðinu	O
í	O
nokkrar	O
mínútur	O
og	O
kíkja	O
frekar	O
á	O
textann	O
seinna	O
á	O
heimasíðunni	O
,	O
kvika.net	O
.	O

Alla	O
ævi	O
hefur	O
menntamaðurinn	O
Georges	B-Person
reynt	O
að	O
gleyma	O
því	O
að	O
þegar	O
hann	O
var	O
sex	O
ára	O
hafði	O
hann	O
varanleg	O
áhrif	O
á	O
framtíð	O
ungs	O
drengs	O
,	O
Majid	B-Person
,	O
sonar	O
vinnufólks	O
foreldra	O
hans	O
,	O
vinnufólks	O
frá	O
Alsír	B-Location
.	O

Afdrifaríkan	O
dag	O
,	O
17.	B-Date
október	I-Date
árið	I-Date
1961	I-Date
,	O
fara	O
foreldrar	O
Majid	B-Person
til	O
Parísar	B-Location
til	O
að	O
taka	O
þátt	O
í	O
miklum	O
mótmælum	O
gegn	O
nýlenduherrunum	O
Frökkum	B-Miscellaneous
.	O

Þetta	O
er	O
svartur	O
dagur	O
í	O
sögu	O
Frakklands	B-Location
því	O
fjölda	O
mótmælenda	O
var	O
hreinlega	O
slátrað	O
í	O
París	B-Location
.	O

Í	O
myndinni	O
kemur	O
fram	O
að	O
foreldrar	O
Majid	B-Person
komu	O
aldrei	O
aftur	O
og	O
foreldrar	O
Georges	B-Person
ákveða	O
að	O
ættleiða	O
drenginn	O
.	O

Georges	B-Person
er	O
sex	O
ára	O
og	O
vill	O
alls	O
ekki	O
að	O
foreldrarnir	O
taki	O
Majid	B-Person
að	O
sér	O
svo	O
hann	O
kemur	O
í	O
veg	O
fyrir	O
það	O
með	O
því	O
að	O
ljúga	O
sökum	O
upp	O
á	O
Majid	B-Person
.	O

Alla	O
ævi	O
hefur	O
Georges	B-Person
lifað	O
með	O
þessum	O
skugga	O
fortíðarinnar	O
,	O
en	O
talið	O
sér	O
trú	O
um	O
að	O
hann	O
geti	O
ekkert	O
gert	O
að	O
því	O
að	O
Majid	B-Person
hafi	O
lent	O
á	O
munaðarleysingjaheimili	O
,	O
að	O
hann	O
beri	O
ekki	O
ábyrgð	O
á	O
því	O
að	O
Majid	B-Person
hafi	O
verið	O
sviftur	O
möguleikanum	O
á	O
að	O
búa	O
við	O
gott	O
atlæti	O
og	O
fá	O
góða	O
menntun	O
.	O

Hann	O
hafi	O
jú	O
bara	O
verið	O
sex	O
ára	O
.	O

Georges	B-Person
lifir	O
í	O
afneitun	O
,	O
hrokafullur	O
en	O
innst	O
inni	O
nagar	O
hann	O
ef	O
til	O
vill	O
samviskubit	O
.	O

Í	O
lok	O
myndarinnar	O
er	O
mjög	O
táknræn	O
sena	O
þar	O
sem	O
Georges	B-Person
reynir	O
að	O
útiloka	O
allt	O
,	O
fer	O
í	O
rúmið	O
um	O
miðjan	O
dag	O
,	O
dregur	O
þykk	O
gluggatjöldin	O
fyrir	O
og	O
hniprar	O
sig	O
saman	O
undir	O
sæng	O
.	O

Ef	O
vel	O
er	O
að	O
gáð	O
er	O
hægt	O
að	O
setja	O
þetta	O
í	O
víðara	O
samhengi	O
.	O

Þá	O
er	O
Georges	B-Person
Frakkland	B-Location
og	O
Majid	B-Person
innflytjendur	O
.	O

Frakkland	B-Location
lokar	O
augunum	O
fyrir	O
fortíðinni	O
og	O
meðferð	O
þeirra	O
á	O
íbúum	O
nýlendu	O
eins	O
og	O
Alsír	B-Location
.	O

Er	O
í	O
afneitun	O
.	O

En	O
það	O
hlýtur	O
að	O
sjóða	O
upp	O
úr	O
,	O
reiðin	O
kraumar	O
undir	O
og	O
nýjasta	O
dæmið	O
eru	O
kynþáttaóeirðirnar	O
í	O
sumum	O
hverfum	O
Parísar	B-Location
fyrir	O
nokkrum	O
mánuðum	O
.	O

Það	O
þýðir	O
ekki	O
að	O
loka	O
augunum	O
og	O
reyna	O
að	O
gleyma	O
eða	O
útiloka	O
,	O
fortíðin	O
leitar	O
mann	O
uppi	O
,	O
bæði	O
einstaklinga	O
og	O
þjóðir	O
.	O

Sektarkenndin	O
verður	O
heldur	O
ekki	O
bæld	O
endalaust	O
.	O

Þetta	O
er	O
meðal	O
annars	O
það	O
sem	O
hægt	O
er	O
að	O
lesa	O
út	O
úr	O
mynd	O
Michael	B-Person
Haneke	I-Person
Falinn	B-Miscellaneous
.	O

Georges	B-Person
er	O
líka	O
persóna	O
sem	O
hefur	O
mörg	O
einkenni	O
sem	O
Frakkland	B-Location
hefur	O
verið	O
þekkt	O
fyrir	O
í	O
samfélagi	O
þjóðanna	O
.	O

Hrokinn	O
,	O
gamla	O
menntaða	O
þjóðin	O
sem	O
þykist	O
yfir	O
aðra	O
hafin	O
.	O

Köld	O
,	O
virðuleg	O
og	O
heldur	O
í	O
hefðirnar	O
.	O

Ég	O
gæti	O
eytt	O
löngu	O
máli	O
í	O
fleiri	O
svona	O
vangaveltur	O
en	O
læt	O
hér	O
staðar	O
numið	O
.	O

Falinn	B-Miscellaneous
er	O
allavega	O
án	O
nokkurs	O
efa	O
mynd	O
um	O
samvisku	O
.	O

Samvisku	O
einstaklings	O
og	O
samvisku	O
þjóða	O
.	O

Spurt	O
er	O
á	O
ég	O
að	O
gæta	O
bróður	O
míns	O
?	O

Alla	O
myndina	O
heldur	O
maður	O
að	O
í	O
lokin	O
verði	O
því	O
svarað	O
hver	O
gerði	O
myndböndin	O
sem	O
hjónin	O
fá	O
send	O
.	O

En	O
svo	O
er	O
ekki	O
.	O

Michael	B-Person
Haneke	I-Person
skilur	O
mann	O
eftir	O
í	O
lausu	O
lofti	O
,	O
pirraðan	O
í	O
fyrstu	O
en	O
síðan	O
leitar	O
myndin	O
á	O
mann	O
næstu	O
daga	O
og	O
í	O
stað	O
pirrings	O
koma	O
heilabrot	O
.	O

Ég	O
er	O
ennþá	O
að	O
melta	O
myndina	O
og	O
á	O
trúlega	O
eftir	O
að	O
horfa	O
á	O
hana	O
aftur	O
einn	O
góðan	O
veðurdag	O
.	O

Pistill	O
í	O
Víðsjá	B-Miscellaneous
23.	B-Date
janúar	I-Date
2006	I-Date

14.8.2005	B-Date

Bíótónar	B-Miscellaneous
-	O
gulur	O

Bíótónar	B-Miscellaneous
-	O
4.	B-Date
júní	I-Date
2005	I-Date
-	O
Gulur	O

Heilir	O
og	O
sælir	O
hlustendur	O
góðir	O
!	O

Fyrst	O
voru	O
kvikmyndir	O
ekki	O
í	O
lit	O
.	O

Samt	O
skiptu	O
litir	O
máli	O
.	O

Það	O
var	O
hreint	O
ekki	O
sama	O
hvernig	O
búningar	O
,	O
leikmynd	O
og	O
umhverfið	O
allt	O
var	O
á	O
litinn	O
.	O

Þeir	O
sem	O
unnu	O
við	O
kvikmyndir	O
í	O
árdaga	O
urðu	O
sérfræðingar	O
í	O
að	O
þekkja	O
hvernig	O
daufir	O
jafnt	O
sem	O
skærir	O
litir	O
komu	O
út	O
í	O
grátónaskalanum	O
,	O
vissu	O
til	O
dæmis	O
upp	O
á	O
hár	O
hvernig	O
hárauður	O
kjóll	O
kæmi	O
út	O
í	O
svart	O
/	O
hvítri	O
mynd	O
.	O

Svo	O
litir	O
hafa	O
alltaf	O
skipt	O
máli	O
í	O
kvikmyndum	O
.	O

En	O
þeir	O
skipta	O
jafnvel	O
enn	O
meira	O
máli	O
nú	O
til	O
dags	O
.	O

Sumir	O
kvikmyndaleikstjórar	O
nota	O
liti	O
mjög	O
meðvitað	O
.	O

Meðal	O
þeirra	O
eru	O
Kieslowski	B-Person
heitinn	O
,	O
Ingmar	B-Person
Bergman	I-Person
,	O
Sally	B-Person
Potter	I-Person
og	O
mexíkóski	O
leikstjórinn	O
Alfonso	B-Person
Cuarón	I-Person
.	O

Aðrir	O
nota	O
liti	O
markvisst	O
án	O
þess	O
að	O
gera	O
sér	O
grein	O
fyrir	O
því	O
.	O

Oft	O
er	O
það	O
þannig	O
að	O
leikstjórar	O
fullyrða	O
að	O
þeir	O
noti	O
ekki	O
tákn	O
.	O

En	O
hefðir	O
fyrir	O
merkingu	O
ýmis	O
konar	O
tákna	O
og	O
lita	O
fléttast	O
inn	O
í	O
allt	O
okkar	O
umhverfi	O
og	O
menningu	O
og	O
oft	O
á	O
tíðum	O
tökum	O
við	O
alls	O
ekki	O
eftir	O
því	O
af	O
því	O
að	O
það	O
er	O
eitthvað	O
svo	O
sjálfsagt	O
.	O

Þannig	O
er	O
það	O
með	O
suma	O
leikstjóra	O
líka	O
...	O

þeir	O
segjast	O
ekki	O
nota	O
tákn	O
vegna	O
þess	O
að	O
þeir	O
gera	O
það	O
ómeðvitað	O
.	O

Það	O
er	O
stundum	O
sagt	O
að	O
litir	O
séu	O
lykillinn	O
að	O
sál	O
fólks	O
vegna	O
þess	O
hve	O
vel	O
þeir	O
nái	O
til	O
undirmeðvitundarinnar	O
.	O

Hver	O
einasti	O
litur	O
í	O
litaskalanum	O
setur	O
fram	O
þögla	O
yfirlýsingu	O
til	O
áhorfandans	O
.	O

Hvernig	O
áhorfandinn	O
nemur	O
litinn	O
er	O
svo	O
undir	O
ýmsu	O
komið	O
,	O
til	O
dæmis	O
hvernig	O
augu	O
hans	O
meðtaka	O
liti	O
,	O
og	O
hvaða	O
áhrif	O
umhverfi	O
,	O
samfélag	O
og	O
menning	O
hafa	O
haft	O
á	O
viðkomandi	O
.	O

Lita-sálarfræði	O
er	O
ónákvæm	O
og	O
frekar	O
óljós	O
vísindagrein	O
sem	O
átti	O
lengi	O
framan	O
af	O
erfitt	O
uppdráttar	O
sem	O
alvarleg	O
vísindagrein	O
.	O

Hins	O
vegar	O
hefur	O
hún	O
jafnframt	O
verið	O
ein	O
sú	O
allra	O
vinsælasta	O
.	O

Litir	O
tengjast	O
tilfinningum	O
og	O
hafa	O
áhrif	O
á	O
undirmeðvitundina	O
.	O

Flestir	O
hafa	O
heyrt	O
um	O
helstu	O
áhrif	O
lita	O
á	O
tilfinningar	O
okkar	O
,	O
til	O
dæmis	O
að	O
litir	O
sem	O
flokkaðir	O
eru	O
sem	O
hlýjir	O
eða	O
heitir	O
litir	O
eins	O
og	O
appelsínugulur	O
og	O
rauður	O
gefa	O
frá	O
sér	O
strauma	O
sem	O
eru	O
spennandi	O
og	O
líflegir	O
.	O

Gulur	O
,	O
rauður	O
,	O
grænn	O
,	O
og	O
blár	O
verða	O
til	O
umfjöllunnar	O
í	O
þessari	O
röð	O
Bíótóna	B-Miscellaneous
og	O
ég	O
byrja	O
á	O
gula	O
litnum	O
.	O

Í	O
þættinum	O
ætla	O
ég	O
að	O
leika	O
lög	O
sem	O
öll	O
tengjast	O
gula	O
litnum	O
,	O
hvort	O
sem	O
það	O
er	O
gegnum	O
litaskalann	O
í	O
myndinni	O
,	O
titla	O
kvikmyndanna	O
eða	O
söngvanna	O
.	O

Fyrst	O
er	O
það	O
tónlist	O
úr	O
kvikmynd	O
sem	O
er	O
ef	O
til	O
vill	O
sú	O
sem	O
er	O
allra	O
þekktust	O
sem	O
gul	O
kvikmynd	O
.	O

Tvöfalt	B-Miscellaneous
líf	I-Miscellaneous
Veroníku	I-Miscellaneous
eftir	O
Krysztof	B-Person
Kieslowski	I-Person
.	O

Pólski	O
leikstjórinn	O
Krysztof	B-Person
Kieslowski	I-Person
fæddist	O
í	O
Varsjá	B-Location
27.	B-Date
júní	I-Date
1941	I-Date
,	O
en	O
lést	O
fyrir	O
aldur	O
fram	O
þann	O
13.	B-Date
mars	I-Date
1996	I-Date
eftir	O
hjartaaðgerð	O
.	O

Eftir	O
Kieslowski	B-Person
liggja	O
margar	O
perlur	O
kvikmyndasögunnar	O
,	O
bæði	O
heimildamyndir	O
og	O
leiknar	O
kvikmyndir	O
.	O

Þær	O
myndir	O
Kieslowski	B-Person
sem	O
flestir	O
þekkja	O
eru	O
án	O
efa	O
þríleikurinn	O
,	O
«	O
Þrír	B-Miscellaneous
litir	I-Miscellaneous
:	O
Blár	B-Miscellaneous
,	O
Hvítur	B-Miscellaneous
,	O
og	O
Rauður	B-Miscellaneous
og	O
eflaust	O
muna	O
líka	O
margir	O
«	O
Tvöfalt	B-Miscellaneous
líf	I-Miscellaneous
Veróníku	I-Miscellaneous
»	O
.	O

Þó	O
Kieslowski	B-Person
hafi	O
gert	O
margar	O
frábærar	O
myndir	O
og	O
Boðorðin	B-Miscellaneous
tíu	I-Miscellaneous
áður	O
hen	O
hann	O
gerði	O
Tvöfalt	B-Miscellaneous
líf	I-Miscellaneous
Veróníku	I-Miscellaneous
árið	O
1991	B-Date
,	O
var	O
það	O
sú	O
mynd	O
sem	O
vakti	O
athygli	O
umheimsins	O
á	O
honum	O
.	O

Myndin	O
skoðar	O
mannlegt	O
eðli	O
á	O
nærfærinn	O
hátt	O
og	O
til	O
að	O
fullkomna	O
listaverkið	O
er	O
einstakur	O
leikur	O
Irène	B-Person
Jacob	I-Person
,	O
frábær	O
tónlist	O
Preisners	B-Person
og	O
falleg	O
myndataka	O
Slawomir	B-Person
Idziak	I-Person
.	O

Sagan	O
segir	O
frá	O
tveimur	O
stúlkum	O
sem	O
eru	O
tvífarar	O
,	O
önnur	O
býr	O
í	O
Póllandi	B-Location
en	O
hin	O
í	O
Frakklandi	B-Location
.	O

Á	O
óútskýranlegan	O
hátt	O
skynja	O
þær	O
tengsl	O
sem	O
þær	O
eiga	O
erfitt	O
með	O
að	O
skilja	O
.	O

Kieslowski	B-Person
sagði	O
um	O
«	O
Tvöfalt	B-Miscellaneous
líf	I-Miscellaneous
Veróníku	I-Miscellaneous
»	O
að	O
hún	O
væri	O
viðkvæm	O
mynd	O
um	O
viðkvæmt	O
fólk	O
.	O

Yfir	O
myndinni	O
allri	O
liggur	O
gul	O
slikja	O
,	O
filterar	O
eru	O
notaðir	O
og	O
líka	O
guli	O
liturinn	O
og	O
yfir	O
í	O
brúnan	O
í	O
ýmsum	O
smáatriðum	O
í	O
leikmynd	O
og	O
búningum	O
.	O

Gulur	O
litur	O
getur	O
staðið	O
fyrir	O
margt	O
.	O

Það	O
fer	O
mikið	O
eftir	O
í	O
hvaða	O
tón	O
hann	O
er	O
og	O
auðvitað	O
skiptir	O
samhengið	O
máli	O
líka	O
.	O

Allir	O
litir	O
hafa	O
bæði	O
jákvæða	O
og	O
neikvæða	O
merkingu	O
.	O

Jákvæð	O
merking	O
þess	O
gula	O
tengist	O
til	O
dæmis	O
sól	O
,	O
hamingju	O
,	O
von	O
,	O
bjartsýni	O
,	O
hugmyndaflugi	O
og	O
hlýju	O
.	O

Og	O
það	O
er	O
jákvætt	O
Þegar	O
tónn	O
gula	O
litarins	O
er	O
örlítið	O
út	O
í	O
rautt	O
eða	O
brúnt	O
sem	O
er	O
litur	O
jarðarinnar	O
.	O

Hins	O
vegar	O
getur	O
guli	O
liturinn	O
einnig	O
staðið	O
fyrir	O
hættu	O
,	O
svik	O
,	O
veikindi	O
,	O
afbrýðisemi	O
,	O
tvöfeldni	O
,	O
óheiðarleika	O
og	O
heigulshátt	O
.	O

Enginn	O
litur	O
er	O
betur	O
fallin	O
til	O
að	O
ná	O
athygli	O
fólks	O
enda	O
er	O
hann	O
til	O
dæmis	O
notaður	O
þegar	O
vara	O
á	O
fólk	O
við	O
hættu	O
.	O

Í	O
umferðinni	O
eða	O
í	O
tengslum	O
við	O
eiturefni	O
.	O

Augun	O
eiga	O
erfitt	O
með	O
að	O
þola	O
stóran	O
skammt	O
af	O
skærgulum	O
lit	O
.	O

Gul	O
rós	O
er	O
tákn	O
um	O
vináttu	O
,	O
meðan	O
rauðar	O
rósir	O
tákna	O
ást	O
.	O

Guli	O
liturinn	O
er	O
líka	O
andlegur	O
.	O

Hann	O
er	O
litur	O
goða	O
eða	O
í	O
mörgum	O
trúarbrögðum	O
og	O
í	O
Asíu	B-Location
er	O
hann	O
heilagur	O
.	O

Í	O
Veróniku	B-Miscellaneous
er	O
guli	O
liturinn	O
í	O
flestum	O
tilfellum	O
hlýr	O
og	O
gefur	O
von	O
.	O

Ekki	O
er	O
hægt	O
að	O
segja	O
sömu	O
sögu	O
um	O
gula	O
litinn	O
í	O
næstu	O
mynd	O
sem	O
er	O
til	O
umfjöllunar	O
,	O
Kill	B-Miscellaneous
Bill	I-Miscellaneous
eftir	O
Quentin	B-Person
Tarantino	I-Person
.	O

Og	O
ég	O
get	O
nefnt	O
fleiri	O
myndir	O
sem	O
hafa	O
gulan	O
tón	O
ríkjandi	O
,	O
og	O
þá	O
oft	O
í	O
hluta	O
myndanna	O
.	O

Litanotkun	O
í	O
myndinni	O
Borg	B-Miscellaneous
Guðs	I-Miscellaneous
eftir	O
eftir	O
brasilíska	O
leikstjóran	O
Fernando	B-Person
Meirelles	I-Person
er	O
mjög	O
meðvituð	O
.	O

Þar	O
er	O
fortíðin	O
gul	O
.	O

Nostalgía	O
er	O
ríkjandi	O
.	O

Meirelles	B-Person
notar	O
gulan	O
filter	O
þannig	O
að	O
þegar	O
ein	O
aðalpersónan	O
,	O
Rocket	B-Person
,	O
hugsar	O
um	O
æskuna	O
er	O
gul	O
slikja	O
yfir	O
öllu	O
.	O

Þegar	O
maður	O
hugsar	O
til	O
baka	O
finnst	O
manni	O
alltaf	O
hafa	O
verið	O
sól	O
þegar	O
maður	O
var	O
lítill	O
,	O
meira	O
að	O
segja	O
hér	O
á	O
Íslandi	B-Location
.	O

Ef	O
til	O
vill	O
ekki	O
skrýtið	O
að	O
æskuminningarnar	O
séu	O
gular	O
í	O
Brasilíu	B-Location
.	O

Reyndar	O
hef	O
ég	O
séð	O
þetta	O
notað	O
í	O
myndum	O
áður	O
,	O
t.d.	O
man	O
ég	O
ekki	O
betur	O
en	O
Steven	B-Person
Soderbergh	I-Person
hafi	O
litað	O
endurlit	O
til	O
fortíðar	O
gul	O
í	O
Traffic	B-Miscellaneous
.	O

Önnur	O
mynd	O
með	O
gulum	O
lit	O
er	O
Löng	B-Miscellaneous
trúlofun	I-Miscellaneous
.	O

Jean	B-Person
Pierre	I-Person
Jeunet	I-Person
hefur	O
alltaf	O
haft	O
gaman	O
af	O
að	O
nota	O
liti	O
til	O
að	O
