Málverkafölsunarmálið	nheng
til	ae
framtíðar	nvee
og	c
þá	aa
um	ao
leið	nveo
hvernig	aa
við	fp1fn
komum	sfg1fn
til	aa
með	ao
að	cn
setja	sng
niður	aa
listasöguna	nveog
því	fpheþ
þetta	fahen
er	sfg3en
náttúrulega	aa
gríðarlega	aa
umfangsmikið	lhensf
mál	nhen
,	,
þýðingarmikið	lhensf
,	,
skiptir	sfg3en
okkur	fp1fo
mjög	aa
miklu	lheþsf
til	ae
framtíðar	nvee
.	.
»	»

Valgerður	nven-s
:	:
«	«
Þannig	aa
að	aa
þó	aa
að	c
Hæstiréttur	nken-s
hafi	svg3en
sýknað	ssg
þá	fakfo
sem	ct
ákærðir	sþgkfn
voru	sfg3fþ
þá	aa
finnst	sfm3en
þér	fp2eþ
samt	aa
sem	c
áður	aa
að	c
það	fphen
verði	svg3en
að	cn
bregðast	snm
við	aa
?	?
»	»

Þorgerður	nven-s
Katrín	nven-s
Gunnarsdóttir	nven-s
:	:
«	«
Ja	au
,	,
það	fphen
er	sfg3en
alveg	aa
ljóst	lhensf
að	c
það	fphen
eru	sfg3fn
fölsuð	lhfnsf
verk	nhfn
í	aþ
umferð	nveþ
og	c
menningarlega	aa
og	c
menningarsögulega	aa
þá	aa
ber	sfg3en
mér	fp1eþ
í	aþ
rauninni	nveþg
skylda	nven
til	ae
þess	fphee
að	cn
bregðast	snm
við	aþ
því	fpheþ
hvernig	aa
við	fp1fn
komum	sfg1fn
til	aa
með	ao
að	cn
meðhöndla	sng
þau	fahfo
verk	nhfo
sem	ct
eru	sfg3fn
í	aþ
umferð	nveþ
hér	aa
á	aþ
landi	nheþ
,	,
þannig	aa
að	c
hvort	c
sem	c
að	c
Hæstiréttur	nken-s
hafi	svg3en
sýknað	ssg
eða	c
ekki	aa
þá	aa
verðum	sfg1fn
við	fp1fn
að	cn
taka	sng
afstöðu	nveo
hvað	fsheo
við	fp1fn
ætlum	sfg1fn
að	cn
gera	sng
við	ao
þessi	fahfo
fölsuðu	lhfovf
verk	nhfo
sem	ct
að	c
eru	sfg3fn
í	aþ
gangi	nkeþ
hér	aa
á	aþ
landi	nheþ
.	.
»	»

Meirihluti	nken
vill	sfg3en
þjóðaratkvæðagreiðslu	nveo

Sjö	tfkfn
af	aþ
hverjum	fokeþ
10	ta
landsmanna	nkfe
vilja	sfg3fn
þjóðaratkvæðagreiðslu	nveo
um	ao
fjölmiðlafrumvarp	nheo
ríkisstjórnarinnar	nveeg
samkvæmt	aþ
skoðanakönnun	nveþ
sem	ct
Fréttablaðið	nhengs
birtir	sfg3en
í	ao
dag	nkeo
.	.

Formaður	nken
allsherjarnefndar	nvee
Alþingis	nhee-s
segir	sfg3en
að	c
þessi	faven
mikla	lvenvf
andstaða	nven
komi	svg3en
nokkuð	fohen
á	ao
óvart	lheosf
en	c
sjónarmið	nhfn
stjórnarflokkanna	nkfeg
í	aþ
þessu	faheþ
máli	nheþ
hafi	svg3fn
ekki	aa
notið	ssg
sannmælis	nhee
.	.

Spurt	sþghen
var	sfg3eþ
hvort	c
fólk	nhen
teldi	svg3eþ
að	c
forsetinn	nkeng
ætti	svg3eþ
að	cn
neita	sng
að	cn
skrifa	sng
undir	ao
fjölmiðlalögin	nhfog
og	c
skjóta	sng
þeim	fphfþ
til	ae
þjóðaratkvæðagreiðslu	nvee
.	.

Sjötíu	tfhen
og	c
eitt	tfhen
prósent	nhen
þeirra	fakfe
sem	ct
afstöðu	nveo
tóku	sfg3fþ
svöruðu	sfg3fþ
því	fpheþ
játandi	aa
en	c
nei	au
sögðu	sfg3fþ
29%	tp
.	.

Nærri	aa
87%	tp
telja	sfg3fn
að	c
forsetinn	nkeng
hafi	svg3en
vald	nheo
til	ae
að	cn
synja	sng
lögum	nhfþ
staðfestingu	nveo
og	c
rúm	lhfnsf
80%	tp
sögðust	sfm3fþ
andvíg	lhfnsf
frumvarpi	nheþ
ríkisstjórnarinnar	nveeg
um	ao
eignarhald	nheo
á	aþ
fjölmiðlum	nkfþ
.	.

Bjarna	nkeþ-s
Benediktssyni	nkeþ-s
,	,
formanni	nkeþ
allsherjarnefndar	nvee
kemur	sfg3en
þetta	fahen
nokkuð	fohen
á	ao
óvart	lheosf
.	.

Bjarni	nken-s
Benediktsson	nken-s
,	,
formaður	nken
allsherjarnefndar	nvee
:	:
«	«
Það	fphen
er	sfg3en
visst	lhensf
áhyggjuefni	nhen
fyrir	ao
þá	fakfo
sem	ct
standa	sfg3fn
að	aþ
þessu	faheþ
máli	nheþ
að	c
stuðningurinn	nkeng
skuli	svg3en
ekki	aa
vera	sng
meiri	lkenvm
en	c
raun	nven
ber	sfg3en
vitni	nheo
.	.

Mér	fp1eþ
finnst	sfm3en
þó	aa
að	c
okkar	fp1fe
sjónarmið	nhfn
hafi	svg3fn
átt	ssg
mjög	aa
erfitt	lheosf
uppdráttar	nkee
og	c
málið	nheng
hafi	svg3en
nú	aa
verið	ssg
afflutt	sþghen
af	aþ
töluverðu	lheþsf
leyti	nheþ
,	,
það	fphen
er	sfg3en
nú	aa
mín	feven
skoðun	nven
á	aþ
því	fpheþ
.	.

Varðandi	slg
þetta	faheo
um	ao
forsetann	nkeog
að	c
þá	aa
kemur	sfg3en
það	fphen
mér	fp1eþ
nú	aa
verulega	aa
á	ao
óvart	lheosf
að	c
þetta	fahen
hátt	lhensf
hlutfall	nhen
þjóðarinnar	nveeg
sé	svg3en
þeirrar	favee
skoðunar	nvee
að	c
mál	nhfn
af	aþ
þessu	faheþ
tagi	nheþ
eigi	svg3fn
að	cn
fara	sng
þessa	faveo
leið	nveo
.	.

Í	aþ
fyrsta	lheþve
lagi	nheþ
er	sfg1en
ég	fp1en
nú	aa
því	fpheþ
efnislega	aa
ósammála	lkenof
að	c
málið	nheng
sé	svg3en
þannig	aa
vaxið	lhensf
,	,
en	c
tel	sfg1en
þó	aa
að	c
það	fphen
kannski	aa
fari	svg3en
eitthvað	fohen
saman	aa
við	ao
stuðning	nkeo
við	ao
málið	nheog
,	,
þessi	faven
niðurstaða	nven
.	.

Sérstaklega	aa
kemur	sfg3en
þetta	fahen
mér	fp1eþ
á	ao
óvart	lheosf
þegar	c
horft	sþghen
er	sfg3en
til	ae
þess	fphee
að	c
löndin	nhfng
í	aa
kringum	ao
okkur	fp1fo
hafa	sfg3fn
öll	fohfn
séð	ssg
ástæðu	nveo
til	ae
þess	fphee
að	cn
skipta	sng
sér	fphfþ
af	aþ
málum	nhfþ
af	aþ
þessu	faheþ
tagi	nheþ
,	,
þ.e.a.s.	as
hvernig	aa
fjölmiðlarnir	nkfng
eru	sfg3fn
,	,
hvernig	aa
þeir	fpkfn
byggjast	sfm3fn
upp	aa
og	c
hvernig	aa
komið	sþghen
er	sfg3en
í	ao
veg	nkeo
fyrir	ao
of	aa
mikla	lveosf
samþjöppun	nveo
á	aþ
því	faheþ
sviði	nheþ
og	c
ég	fp1en
hygg	sfg1en
að	c
þar	aa
hafi	svg3en
nú	aa
verið	ssg
býsna	aa
langt	lhensf
í	ao
það	fpheo
að	c
menn	nkfn
hafi	svg3fn
látið	ssg
sér	fpkfþ
detta	sng
í	ao
hug	nkeo
að	cn
fara	sng
með	ao
slíkt	fbheo
fyrir	ao
þjóðaratkvæði	nheo
.	.
»	»

Valgerður	nven-s
Jóhannsdóttir	nven-s
:	:
«	«
Nú	aa
er	sfg3en
þetta	fahen
mál	nhen
á	aþ
dagskrá	nveþ
þingsins	nheeg
í	ao
dag	nkeo
.	.

Gerir	sfg2en
þú	fp2en
ráð	nheo
fyrir	aþ
að	c
þetta	fahen
verði	svg3en
að	aþ
lögum	nhfþ
bara	aa
í	ao
lok	nhfo
vikunnar	nveeg
?	?
»	»

Bjarni	nken-s
Benediktsson	nken-s
:	:
«	«
Ég	fp1en
geri	sfg1en
ráð	nheo
fyrir	aþ
því	fpheþ
,	,
já	au
.	.

Þessi	faven
niðurstaða	nven
breytir	sfg3en
ekki	aa
minni	feveþ
sannfæringu	nveþ
í	aþ
málinu	nheþg
.	.
»	»

Bankarán	nhen

Landsbankaútibúið	nhengs
við	ao
Gullinbrú	nveo-s
í	aþ
Grafarvogi	nkeþ-s
í	aþ
Reykjavík	nveþ-s
var	sfg3eþ
rænt	sþghen
á	aþ
11.	ta
tímanum	nkeþg
í	ao
morgun	nkeo
.	.

Ræninginn	nkeng
sem	ct
var	sfg3eþ
vopnaður	lkensf
öxi	nveþ
náðist	sfm3eþ
á	aþ
hlaupum	nhfþ
í	aþ
Foldahverfi	nheþ-s
skömmu	lheþsf
eftir	ao
ránið	nheog
.	.

Ræninginn	nkeng
huldi	sfg3eþ
andlit	nheo
sitt	feheo
eftir	aþ
því	faheþ
sem	ct
næst	aae
verður	sfg3en
komist	sþmhen
.	.

Hann	fpken
kom	sfg3eþ
inn	aa
í	ao
bankann	nkeog
um	ao
hálfellefuleytið	nheog
.	.

5	ta
starfsmenn	nkfn
voru	sfg3fþ
í	aþ
bankanum	nkeþg
og	c
einn	tfken
viðskiptavinur	nken
og	c
eru	sfg3fn
allir	fokfn
heilir	lkfnsf
á	aþ
húfi	nkeþ
.	.

Ræninginn	nkeng
ógnaði	sfg3eþ
starfsfólki	nheþ
með	aþ
öxinni	nveþg
og	c
hljóp	sfg3eþ
á	aa
brott	aa
með	ao
eitthvað	foheo
af	aþ
peningum	nkfþ
.	.

Ekki	aa
er	sfg3en
vitað	sþghen
hversu	aa
miklu	lheþsf
hann	fpken
náði	sfg3eþ
.	.

Viðskiptavinurinn	nkeng
mun	sfg3en
hafa	sng
hlaupið	ssg
á	aa
eftir	aþ
ræningjanum	nkeþg
.	.

Lögregla	nven
var	sfg3eþ
skjót	lvensf
á	ao
staðinn	nkeog
og	c
náði	sfg3eþ
ræningjanum	nkeþg
þar	aa
sem	c
hann	fpken
var	sfg3eþ
á	aþ
hlaupum	nhfþ
í	aþ
Foldahverfi	nheþ-s
öxin	nveng
fannst	sfm3eþ
við	ao
Frostafold	nveo-s
.	.

Ræninginn	nkeng
er	sfg3en
nú	aa
í	aþ
haldi	nheþ
lögreglu	nvee
og	c
bíður	sfg3en
yfirheyrslu	nvee
.	.

Hann	fpken
er	sfg3en
á	aþ
þrítugsaldri	nkeþ
og	c
hefur	sfg3en
áður	aa
komið	ssg
við	ao
sögu	nveo
lögreglu	nvee
,	,
m.a.	as
vegna	ae
auðgunarbrota	nhfe
.	.

Lögreglan	nveng
útilokar	sfg3en
ekki	aa
að	c
ræninginn	nkeng
eigi	svg3en
sér	fpkeþ
vitorðsmenn	nkfo
.	.

Starfsfólkið	nheng
þiggur	sfg3en
nú	aa
áfallahjálp	nveo
hjá	aþ
sálfræðingum	nkfþ
.	.

Litlar	lvfnsf
skemmdir	nvfn
virðast	sfm3fn
hafa	sng
orðið	ssg
á	aþ
bankaútibúinu	nheþg
sem	ct
verður	sfg3en
lokað	sþghen
það	faheo
sem	ct
eftir	aa
lifir	sfg3en
dags	nkee
.	.

Reglur	nvfn
um	ao
umboðsmann	nkeo
Alþingis	nhee-s

Umboðsmaður	nken
Alþingis	nhee-s
ætlar	sfg3en
að	cn
taka	sng
saman	aa
og	c
kynna	sng
af	aþ
sinni	feveþ
hálfu	nveþ
reglur	nvfn
sem	ct
hann	fpken
óskar	sfg3en
eftir	aa
að	c
gildi	svg3en
um	ao
samskipti	nhfo
hans	fpkee
og	c
stjórnvalda	nhfe
.	.

Þetta	fahen
kom	sfg3eþ
fram	aa
á	aþ
fundi	nkeþ
sem	ct
umboðsmaður	nken
átti	sfg3eþ
með	aþ
forseta	nkeþ
og	c
varaforseta	nkeþ
Alþingis	nhee-s
í	ao
morgun	nkeo
.	.

Tilefni	nhen
fundarins	nkeeg
var	sfg3eþ
samtal	nhen
sem	ct
Davíð	nken-s
Oddsson	nken-s
,	,
forsætisráðherra	nken
átti	sfg3eþ
við	ao
umboðsmann	nkeo
4.	ta
maí	nkeo
síðast	aae
liðinn	lkeosf
um	ao
álit	nheo
umboðsmanns	nkee
um	ao
skipan	nveo
hæstaréttardómara	nkfe
.	.

Gert	sþghen
er	sfg3en
ráð	nhen
fyrir	aþ
að	c
skýrt	aa
komi	svg3en
fram	aa
í	aþ
samskiptareglum	nvfþ
stjórnvalda	nhfe
og	c
umboðsmanns	nkee
hver	fsken
eigi	svg3en
að	cn
hafa	sng
frumkvæði	nheo
að	aþ
samskiptum	nhfþ
og	c
hvert	fshen
form	nhen
þeirra	fphfe
eigi	svg3en
að	cn
vera	sng
.	.

Vís	nxen-s
kaupir	sfg3en
Lyfju	nveo-s

Vátryggingafélag	nhen-s
Íslands	nhee-s
hefur	sfg3en
keypt	ssg
lyfsölukeðjuna	nveog
Lyfju	nveo-s
af	aþ
Högum	nkfþ-s
,	,
verslanakeðju	nveþ
Baugs	nkee-s
.	.

Lyfja	nven-s
rekur	sfg3en
34	ta
apótek	nhfo
um	ao
allt	foheo
land	nheo
undir	aþ
merkjum	nhfþ
Lyfju	nvee-s
og	c
Apóteksins	nheegs
.	.

Vátryggingafélagið	nhengs
ætlar	sfg3en
ekki	aa
að	cn
leggja	sng
fram	aa
hærri	lveovm
upphæð	nveo
en	c
500	ta
milljónir	nvfo
króna	nvfe
í	ao
Lyfju	nveo-s
.	.

Afgangur	nken
kaupverðsins	nheeg
kemur	sfg3en
frá	aþ
öðrum	fokfþ
fjárfestum	nkfþ
.	.

Finnur	nken-s
Ingólfsson	nken-s
,	,
forstjóri	nken
fyrirtækisins	nheeg
segir	sfg3en
það	fpheo
trúnaðarmál	nheo
að	aþ
svo	aa
stöddu	lheþsf
hvaða	fskfn
fjárfestar	nkfn
séu	svg3fn
þar	aa
á	aþ
ferð	nveþ
.	.

Vátryggingafélagið	nhengs
átti	sfg3eþ
fyrir	aa
stóran	lkeosf
hlut	nkeo
í	aþ
Samkaupum	nhfþ-s
og	c
er	sfg3en
því	aa
orðið	sþghen
fyrirferðamikið	lhensf
á	aþ
smásölumarkaði	nkeþ
.	.

Jón	nken-s
Björnsson	nken-s
,	,
forstjóri	nken
Haga	nkfe-s
,	,
segir	sfg3en
að	c
frá	aþ
sínum	fekeþ
sjónarhól	nkeþ
sé	svg3en
salan	nveng
ekki	aa
tilkomin	sþgven
vegna	ae
stefnu	nvee
Baugs	nkee-s
um	ao
að	cn
losa	sng
sig	fpkeo
við	ao
eignir	nvfo
hér	aa
á	aþ
landi	nheþ
og	c
einbeita	sng
sér	fpkeþ
að	aþ
fjárfestingum	nvfþ
erlendis	aa
.	.

Jón	nken-s
Björnsson	nken-s
,	,
forstjóra	nkeþ
Haga	nkfe-s
:	:
«	«
Ég	fp1en
get	sfg1en
að	aþ
sjálfsögðu	lheþsf
ekki	aa
svarað	ssg
fyrir	aa
um	ao
fyriráætlanir	nvfo
Baugs	nkee-s
en	c
ég	fp1en
lít	sfg1en
svo	aa
á	ao
að	c
hvað	fshen
Haga	nkfo-s
varðar	sfg3en
þá	aa
er	sfg3en
þetta	fahen
bara	aa
viðskiptalegs	lheesf
eðlis	nhee
algjörlega	aa
.	.

Kaupverðið	nheng
er	sfg3en
trúnaðarmál	nhen
en	c
tilboðið	nheng
var	sfg3eþ
gott	lhensf
og	c
styrkir	sfg3en
okkar	fp1fe
efnahagsreikning	nkeo
og	c
það	fphen
er	sfg3en
í	aþ
raun	nveþ
og	c
veru	nveþ
grundvöllur	nken
þessarar	favee
sölu	nvee
.	.
»	»

Guðmundur	nken-s
Hörður	nken-s
Guðmundsson	nken-s
:	:
«	«
Má	sfg3en
búast	snm
við	aþ
frekari	lveþvm
sölu	nveþ
hjá	aþ
ykkur	fp2fþ
á	aþ
næstunni	nveþg
?	?
»	»

Jón	nken-s
Björnsson	nken-s
:	:
«	«
Þú	fp2en
verður	sfg2en
að	cn
spyrja	sng
eigendur	nkfo
félagsins	nheeg
að	aþ
því	faheþ
sem	ct
eru	sfg3fn
fjölmargir	lkfnsf
en	c
ég	fp1en
á	sfg1en
ekki	aa
von	nveo
á	aþ
því	fpheþ
.	.
»	»

Hagar	nkfn-s
eiga	sfg3fn
enn	aa
um	aa
65	ta
verslanir	nvfo
hér	aa
á	aþ
landi	nheþ
og	c
í	aþ
Svíþjóð	nveþ-s
.	.

Þar	aa
á	aa
meðal	aa
Hagkaup	nhfo-s
,	,
Bónus	nkeo-s
,	,
10-11	ta
og	c
ýmsar	fovfo
tískuvöruverslanir	nvfo
.	.

Í	aþ
fréttatilkynningu	nveþ
frá	aþ
Högum	nkfþ-s
segir	sfg3en
að	c
félagið	nheng
geti	svg3en
nú	aa
einbeitt	ssg
sér	fpheþ
enn	aa
frekar	aam
að	aþ
rekstri	nkeþ
þessara	favfe
verslana	nvfe
og	c
að	c
nú	aa
sé	svg3en
það	fphen
betur	aam
í	ao
stakk	nkeo
búið	lhensf
til	ae
að	cn
takast	snm
á	aa
við	ao
framtíðaruppbyggingu	nveo
.	.

Fölsuð	lhfnsf
málverk	nhfn
í	aþ
umferð	nveþ

Menntamálaráðherra	nken
segir	sfg3en
óumdeilt	lheosf
að	c
fölsuð	lhfnsf
málverk	nhfn
séu	svg3fn
í	aþ
umferð	nveþ
hér	aa
á	aþ
landi	nheþ
og	c
við	aþ
því	fpheþ
verði	svg3en
að	cn
bregðast	snm
.	.

Rannsókn	nven
ríkislögreglustjóraembættisins	nheeg
á	aþ
málverkafölsunarmálinu	nheþg
var	sfg3eþ
harðlega	aa
gagnrýnt	x
á	aþ
Alþingi	nheþ-s
í	ao
morgun	nkeo
.	.

Sýknudómur	nken
Hæstaréttar	nkee-s
yfir	aþ
mönnunum	nkfþg
tveimur	tfkfþ
sem	ct
ákærðir	sþgkfn
voru	sfg3fþ
fyrir	ao
að	cn
selja	sng
fölsuð	lhfosf
málverk	nhfo
hefur	sfg3en
að	aþ
vonum	nvfþ
vakið	ssg
mikla	lveosf
athygli	nveo
.	.

Í	aþ
ályktun	nveþ
sem	ct
stjórn	nven
Sambands	nhee-s
íslenskra	lkfesf
myndlistarmanna	nkfe
sendi	sfg3eþ
frá	aþ
sér	fpveþ
í	aþ
gærkvöldi	nheþ
,	,
segir	sfg3en
m.a.	as
að	c
niðurstaðan	nveng
sé	svg3en
gífurlegt	lhensf
áfall	nhen
fyrir	ao
íslenskt	lheosf
myndlistarlíf	nheo
.	.

Áslaug	nven-s
Thorlacius	nven-s
,	,
formaður	nken
sambandsins	nheeg
sagðist	sfm3eþ
á	aþ
Morgunvaktinni	nveþgs
í	ao
morgun	nkeo
ekki	aa
leggja	sng
áherslu	nveo
á	ao
að	c
einhverjir	fokfn
menn	nkfn
færu	svg3fþ
í	ao
fangelsi	nheo
,	,
þeir	fpkfn
yrðu	svg3fþ
að	cn
njóta	sng
vafans	nkeeg
.	.

Áslaug	nven-s
Thorlacius	nven-s
,	,
formaður	nken
Sambands	nhee-s
íslenskra	lkfesf
myndlistarmanna	nkfe
:	:
«	«
En	c
mér	fp1eþ
finnst	sfm3en
slæmt	lhensf
ef	c
að	c
þessi	fahfn
fölsuðu	lhfnvf
verk	nhfn
eða	c
þessi	fahfn
verk	nhfn
sem	ct
að	c
nánast	aae
allir	fokfn
eru	sfg3fn
sammála	lkfnof
um	ao
að	cn
eru	sfg3fn
fölsuð	lhfnsf
,	,
skuli	svg3fn
nú	aa
hafa	sng
fengið	ssg
einhvern	fokeo
svona	lkeoof
gæðastimpil	nkeo
bara	aa
eða	c
eitthvert	foheo
sakleysisvottorð	nheo
og	c
séu	svg3fn
bara	aa
komin	sþghfn
aftur	aa
í	ao
umferð	nveo
.	.
»	»

Stjórn	nven
Sambands	nhee-s
myndlistarmanna	nkfe
skorar	sfg3en
á	ao
stjórnvöld	nhfo
að	cn
finna	sng
færa	lveosf
leið	nveo
til	ae
þess	fphee
að	cn
koma	sng
fölsuðu	lhfþvf
verkunum	nhfþg
úr	aþ
umferð	nveþ
.	.

Þorgerður	nven-s
Katrín	nven-s
Gunnarsdóttir	nven-s
,	,
menntamálaráðherra	nken
segist	sfm3en
fyrir	aþ
nokkru	foheþ
hafa	sng
ákveðið	ssg
að	cn
skipa	sng
starfshóp	nkeo
til	ae
að	cn
fara	sng
yfir	ao
málverkafölsunarmálið	nheog
,	,
m.a.	as
með	ao
höfundarrétt	nkeo
í	aþ
huga	nkeþ
og	c
hvernig	aa
eigi	svg3en
að	cn
skrá	sng
verk	nhfo
gömlu	lkfevf
meistaranna	nkfeg
og	c
þar	aa
með	aa
listasöguna	nveog
.	.

Sýknudómur	nken
Hæstaréttar	nkee-s
breyti	svg3en
engu	foheþ
um	ao
þetta	faheo
.	.

Þorgerður	nven-s
Katrín	nven-s
Gunnarsdóttir	nven-s
,	,
menntamálaráðherra	nken
(	(
D	x
)	)
:	:
«	«
Það	fphen
er	sfg3en
alveg	aa
ljóst	lhensf
að	c
það	fphen
eru	sfg3fn
fölsuð	lhfnsf
verk	nhfn
í	aþ
umferð	nveþ
og	c
menningarlega	aa
og	c
menningarsögulega	aa
þá	aa
ber	sfg3en
mér	fp1eþ
í	aþ
rauninni	nveþg
skylda	nven
til	ae
þess	fphee
að	cn
bregðast	snm
við	aþ
því	fpheþ
hvernig	aa
við	fp1fn
komum	sfg1fn
til	aa
með	ao
að	cn
meðhöndla	sng
þau	fahfo
verk	nhfo
sem	ct
að	aa
eru	sfg3fn
í	aþ
umferð	nveþ
hér	aa
á	aþ
landi	nheþ
.	.

Hvort	c
sem	c
að	c
Hæstiréttur	nken-s
hafi	svg3en
sýknað	ssg
eða	c
ekki	aa
þá	aa
verðum	sfg1fn
við	fp1fn
að	cn
taka	sng
afstöðu	nveo
hvað	fsheo
við	fp1fn
ætlum	sfg1fn
að	cn
gera	sng
við	ao
þessi	fahfo
fölsuðu	lhfovf
verk	nhfo
sem	ct
að	aa
eru	sfg3fn
í	aþ
gangi	nkeþ
hér	aa
á	aþ
landi	nheþ
.	.
»	»

Þingmenn	nkfn
fögnuðu	sfg3fþ
viðbrögðum	nhfþ
menntamálaráðherra	nkee
á	aþ
Alþingi	nheþ-s
í	ao
morgun	nkeo
.	.

Lúðvík	nken-s
Bergvinsson	nken-s
,	,
þingmaður	nken
Samfylkingarinnar	nveegs
sagði	sfg3eþ
hins	fakee
vegar	nkee
að	c
rannsókninni	nveþg
hefði	svg3eþ
verið	ssg
svo	aa
áfátt	lhensf
af	aþ
hálfu	nveþ
ríkislögreglustjóra	nkee
að	c
Hæstiréttur	nken-s
hefði	svg3eþ
ekki	aa
getað	ssg
komist	ssm
að	aþ
annarri	foveþ
niðurstöðu	nveþ
.	.

Lúðvík	nken-s
Bergvinsson	nken-s
,	,
alþingismaður	nken
(	(
S	x
)	)
:	:
«	«
Ríkislögreglustjóraembættið	nhengs
er	sfg3en
mjög	aa
mikilvægt	lhensf
og	c
það	fphen
er	sfg3en
mikilvægt	lhensf
að	c
þar	aa
gangi	svg3fn
hlutirnir	nkfng
vel	aa
fyrir	ao
sig	fpkfo
.	.

Í	aþ
þessu	faheþ
tilviki	nheþ
fær	sfg3en
það	fphen
mikinn	lkeosf
rasskell	nkeo
og	c
ég	fp1en
held	sfg1en
að	c
hæstvirtur	lkensf
dómsmálaráðherra	nken
þurfi	svg3en
að	cn
gefa	sng
þá	faveo
yfirlýsingu	nveo
að	c
hann	fpken
standi	svg3en
enn	aa
ókeikur	lkensf
á	ao
bak	nheo
við	ao
þann	fakeo
ríkislögreglustjóra	nkeo
sem	ct
nú	aa
situr	sfg3en
.	.
»	»

Og	c
það	fphen
vantaði	sfg3eþ
ekkert	fohen
upp	aa
á	ao
stuðninginn	nkeog
hjá	aþ
Davíð	nkeþ-s
Oddssyni	nkeþ-s
,	,
starfandi	lkeþof
dómsmálaráðherra	nkeþ
sem	ct
sagði	sfg3eþ
Lúðvík	nken-s
ekki	aa
hafa	sng
átt	ssg
annað	foheo
erindi	nheo
í	ao
ræðustól	nkeo
en	c
koma	sng
höggi	nheþ
á	ao
ríkislögreglustjóra	nkeo
.	.

Davíð	nken-s
Oddsson	nken-s
,	,
starfandi	lkenof
dómsmálaráðherra	nken
(	(
D	x
)	)
:	:
«	«
Ekki	aa
