Verslóritgerðir	nvfn-s
nokkrum	fokeþ
sköpuðum	lkeþsf
hlut	nkeþ
,	,
þá	aa
allrasíst	aae
fjárskorti	nkeþ
.	.

Auglýsingar	nvfn
nokkurra	fohfe
fyrirtækja	nhfe
hér	aa
á	aþ
landi	nheþ
hafa	sfg3fn
vakið	ssg
athygli	nveo
sökum	ae
þess	fphee
hve	aa
óprúttnar	lvfnsf
þær	fpvfn
þykja	sfg3fn
vera	sng
og	c
eru	sfg3fn
auglýsingar	nvfn
kortfyrirtæjanna	x
þar	aa
fremstar	lvfnse
í	aþ
flokki	nkeþ
.	.

Svarta	lhenvf
kortið	nheng
er	sfg3en
kreditkort	nhen
gefið	sþghen
út	aa
af	aþ
VISA	nxeþ-s
og	c
á	sfg3en
það	fphen
að	cn
vera	sng
sérsniðið	lhensf
þörfum	nvfþ
ungs	lheesf
fólks	nhee
.	.

Slagorð	nhen
þess	fphee
:	:
«	«
Á	ao
morgun	nkeo
kemur	sfg3en
nýr	lkensf
dagur	nken
»	»
er	sfg3en
fullkomið	lhensf
dæmi	nhen
um	ao
þann	fakeo
hugsunarhátt	nkeo
er	ct
ríkir	sfg3en
meðal	ae
ungs	lheesf
fólks	nhee
í	ao
dag	nkeo
.	.

VISA	nxen-s
beinir	sfg3en
með	aþ
þessu	faheþ
þeim	fahfþ
skilaboðum	nhfþ
til	ae
þess	fphee
að	c
það	fphen
sé	svg3en
í	aþ
lagi	nheþ
að	cn
steypa	sng
sér	fpkeþ
í	ao
skuldir	nvfo
vegna	ae
þess	fphee
að	c
«	«
á	ao
morgun	nkeo
kemur	sfg3en
nýr	lkensf
dagur	nken
»	»
.	.

Hinn	faken
kortarisinn	nkeng
,	,
Eurocard	e
,	,
slær	sfg3en
heldur	aam
ekki	aa
slöku	lheþsf
við	aa
með	aþ
Atlaskorti	nheþ-s
sínu	feheþ
með	ao
slagorðið	nheog
:	:
«	«
Farðu	sbg2en
alla	foveo
leið	nveo
»	»
.	.

Maður	nken
fær	sfg3en
það	fpheo
hálfpartinn	nkeog
á	ao
tilfinninguna	nveog
að	c
skilaboðin	nhfng
séu	svg3fn
að	c
ungt	lhensf
fólk	nhen
eigi	svg3en
að	cn
nýta	sng
úttektarheimildina	nveog
til	ae
fulls	lheesf
og	c
«	«
fara	sng
alla	foveo
leið	nveo
»	»
.	.

Kortafyrirtækin	nhfng
gerast	sfm3fn
einnig	aa
svo	aa
kræf	lhfnsf
að	cn
ganga	sng
í	ao
framhaldsskóla	nkfo
með	ao
ýmis	fohfo
tilboð	nhfo
ef	c
framhaldsskólanemar	nkfn
gerast	sfm3fn
áskrifendur	nkfn
.	.

Þau	fphfn
bjóða	sfg3fn
ferðaávísanir	nvfo
sem	ct
hvetja	sfg3fn
ungt	lheosf
fólk	nheo
til	ae
að	cn
fara	sng
utan	aa
og	c
leika	sng
lausum	lkeþsf
hala	nkeþ
með	ao
kortið	nheog
.	.

Þau	fphfn
fá	sfg3fn
ungt	lheosf
fólk	nheo
til	ae
að	cn
líta	sng
ekki	aa
á	ao
úttektarheimild	nveo
sem	ct
skuld	nveo
við	ao
kortafyrirtækin	nhfog
heldur	c
fundið	lheosf
fé	nheo
.	.

Því	aa
hefur	sfg3en
opnast	ssm
nýr	lkensf
neysluheimur	nken
og	c
sér	sfg3en
það	fphen
ýmsar	fovfo
lífsins	nheeg
lystisemdir	nvfo
í	aþ
hyllingum	nvfþ
.	.

Mörgum	lkfþsf
kann	sfg3en
að	cn
þykja	sng
undarlegt	lhensf
að	c
kortafyrirtækin	nhfng
vilji	svg3fn
að	c
ungt	lhensf
fólk	nhen
steypi	svg3en
sér	fpheþ
í	ao
skuldir	nvfo
við	ao
þau	fphfo
vegna	ae
þess	fphee
að	c
það	fphen
getur	sfg3en
trauðla	aa
borgað	ssg
skuldir	nvfo
sínar	fevfo
.	.

Það	fahen
sem	ct
hins	fakee
vegar	nkee
gleymist	sfm3en
oft	aa
að	cn
taka	sng
með	aa
í	ao
reikninginn	nkeog
er	sfg3en
að	c
til	ae
að	cn
fá	sng
kreditkort	nheo
þarf	sfg3en
að	cn
vera	sng
þinglýstur	lkensf
fasteignareigandi	nken
.	.

Ungt	lhensf
fólk	nhen
fær	sfg3en
því	aa
foreldra	nkfo
sína	fekfo
til	ae
að	cn
skrifa	sng
undir	ao
tryggingarvíxil	nkeo
og	c
eru	sfg3fn
þá	aa
kortafyrirtækin	nhfng
komin	sþghfn
með	ao
trausta	lkfosf
greiðendur	nkfo
.	.

Teljast	snm
verður	sfg3en
að	c
ungt	lhensf
fólk	nhen
sé	svg3en
því	aa
ekki	aa
nógu	lheþsf
traustur	lkensf
viðskiptavinur	nken
,	,
en	c
góður	lkensf
þó	aa
.	.

Önnur	foven
minnisstæð	lvensf
auglýsing	nven
er	sfg3en
bjórauglýsing	nven
Egils	nkee-s
,	,
þar	aa
sem	c
auglýstur	sþgken
var	sfg3eþ
Egils-sterkur	lkensf
.	.

Þar	aa
sem	ct
bannað	sþghen
er	sfg3en
að	cn
auglýsa	sng
hvers	fohee
kyns	nhee
áfengi	nheo
á	aþ
Íslandi	nheþ-s
gerðu	sfg3fþ
yfirvöld	nhfn
athugasemd	nveo
við	ao
auglýsinguna	nveog
.	.

Í	aþ
henni	fpveþ
var	sfg3eþ
lítið	lhensf
lagt	sþghen
upp	aa
úr	aþ
bragðgæðum	nhfþ
og	c
frískleika	nkeþ
heldur	c
var	sfg3eþ
aðalatriðið	nheng
styrkleiki	nken
hans	fpkee
,	,
6,2%	tp
.	.

Hvað	fshen
sem	ct
því	fpheþ
líður	sfg3en
báru	sfg3fþ
auglýsingarnar	nvfng
þess	fphee
greinileg	lhfosf
merki	nhfo
að	c
spjótunum	nhfþg
var	sfg3eþ
beint	sþghen
að	aþ
ungu	lheþsf
fólki	nheþ
;	;
að	c
það	fphen
þyrfti	svg3eþ
færri	lkfovm
bjóra	nkfo
til	ae
að	cn
verða	sng
drukkið	lhensf
.	.

Símafyrirtækin	nhfng
hafa	sfg3fn
einnig	aa
verið	ssg
sökuð	sþghfn
um	ao
að	cn
ginna	sng
ungt	lheosf
fólk	nheo
með	aþ
auglýsingum	nvfþ
sínum	fevfþ
.	.

Fyrirframgreidd	lhfnsf
símkort	nhfn
eru	sfg3fn
sérstaklega	aa
hugsuð	sþghfn
til	ae
að	cn
koma	sng
ungu	lheþsf
fólki	nheþ
á	ao
bragðið	nheog
áður	aa
en	c
það	fphen
verður	sfg3en
fjárráða	lhenof
.	.

Einnig	aa
er	sfg3en
hægt	lhensf
að	cn
fá	sng
«	«
gefins	lkeoof
»	»
síma	nkeo
gegn	aþ
því	fpheþ
að	cn
gerast	snm
áskrifandi	nken
að	aþ
símþjónustu	nveþ
í	ao
eitt	tfheo
ár	nheo
.	.

Mánaðarlegur	lkensf
símreikningur	nken
er	sfg3en
færður	sþgken
inn	aa
á	ao
kreditkortareikning	nkeo
og	c
hafa	sfg3fn
margir	lkfnsf
foreldrar	nkfn
,	,
er	ct
gengist	ssm
hafa	sfg3fn
í	ao
ábyrgð	nveo
fyrir	ao
börn	nhfo
sín	fehfo
,	,
fengið	ssg
að	cn
kynnast	snm
neyslugleði	nveþ
þeirra	fphfe
.	.

Klókindi	nhfn
símfyrirtækjanna	nhfeg
eru	sfg3fn
svo	aa
mikil	lhfnsf
að	c
beinlínis	aa
allt	fohen
ungt	lhensf
fólk	nhen
á	sfg3en
farsíma	nkeo
.	.

Hér	aa
hafa	sfg3fn
verið	ssg
tekin	sþghfn
nokkur	fohfn
dæmi	nhfn
um	ao
auglýsingar	nvfo
sem	ct
beinast	sfm3fn
fyrst	aae
og	c
fremst	aae
að	aþ
ungu	lheþsf
fólki	nheþ
.	.

Teljast	snm
verður	sfg3en
að	c
ungt	lhensf
fólk	nhen
nú	aa
til	ae
dag	x
sé	svg3en
nokkuð	fohen
auðveld	lvensf
bráð	nven
auglýsenda	nkfe
miðað	sþghen
við	ao
árangur	nkeo
þeirra	fpkfe
.	.

Spurn	nven
ungs	lheesf
fólks	nhee
eftir	aþ
gæðum	nhfþ
hefur	sfg3en
aukist	ssm
jafnt	aa
og	c
þétt	aa
síðustu	lhfove
árin	nhfog
og	c
í	aþ
tímanna	nkfeg
rás	nveþ
hefur	sfg3en
neyslumunstrið	nheng
tekið	ssg
stakkaskiptum	nhfþ
.	.

Það	fphen
gerir	sfg3en
miklar	lvfosf
kröfur	nvfo
um	ao
hvers	fohee
kyns	nhee
gæði	nhfo
og	c
hafa	sfg3fn
auglýsendur	nkfn
bersýnilega	aa
fært	ssg
sér	fpkfþ
það	fpheo
í	ao
nyt	nveo
.	.

Verslóritgerðir	nvfn-s
2003	ta
,	,
stelpur	nvfn

Lífsgleði	nvee
njóttu	sbg2en

Lífsgleði	nven
skiptir	sfg3en
miklu	lheþsf
máli	nheþ
þegar	c
fólk	nhen
vill	sfg3en
vera	sng
hamingjusamt	lhensf
.	.

Það	fphen
getur	sfg3en
ekki	aa
verið	ssg
skemmtilegt	lhensf
að	cn
lifa	sng
lífinu	nheþg
þegar	c
maður	nken
er	sfg3en
sífellt	aa
óánægður	lkensf
og	c
fúll	lkensf
og	c
maður	nken
fær	sfg3en
miklu	lheþsf
meira	lheovm
út	aa
úr	aþ
lífinu	nheþg
þegar	c
maður	nken
er	sfg3en
glaður	lkensf
og	c
hamingjusamur	lkensf
.	.

Hver	foken
einstaklingur	nken
skapar	sfg3en
örlög	nhfo
sín	fehfo
og	c
lífsviðhorf	nhen
manna	nkfe
skiptir	sfg3en
miklu	lheþsf
máli	nheþ
þegar	c
takast	snm
þarf	sfg3en
á	aa
við	ao
hlutina	nkfog
.	.

En	c
í	aþ
hverju	fsheþ
er	sfg3en
lífsgleði	nven
fólgin	sþgven
og	c
geta	sfg3fn
í	aþ
raun	nveþ
allir	fokfn
notið	ssg
hennar	fpvee
?	?

Í	ao
dag	nkeo
ríkir	sfg3en
mikil	lvensf
ólga	nven
í	aþ
heiminum	nkeþg
og	c
stríðið	nheng
í	aþ
Írak	nheþ-s
hefur	sfg3en
verið	ssg
mjög	aa
áberandi	lhenof
.	.

Margir	lkfnsf
hafa	sfg3fn
misst	ssg
fjölskyldur	nvfo
sínar	fevfo
og	c
heimili	nhfo
í	aþ
stríðinu	nheþg
en	c
þrátt	aa
fyrir	ao
það	fpheo
mátti	sfg3eþ
sjá	sng
gleði	nveo
í	aþ
andliti	nheþ
fólks	nhee
þegar	c
Bandaríkjamenn	nkfn-s
náðu	sfg3fþ
að	cn
koma	sng
Saddam	e
Hussein	e
frá	aþ
völdum	nhfþ
.	.

Írakska	lvenvf
þjóðin	nveng
hefur	sfg3en
ennþá	aa
eitthvað	foheo
til	ae
að	cn
gleðjast	snm
yfir	aa
þrátt	aa
fyrir	ao
allar	fovfo
hörmungarnar	nvfog
sem	ct
hafa	sfg3fn
dunið	ssg
á	aþ
henni	fpveþ
og	c
núna	aa
getur	sfg3en
fólkið	nheng
verið	ssg
ánægt	lhensf
yfir	aþ
lífinu	nheþg
.	.

Það	fphen
hefur	sfg3en
í	ao
dag	nkeo
enn	aa
meiri	lkfovm
möguleika	nkfo
á	aþ
að	cn
njóta	sng
lífsgleði	nvee
og	c
lifa	sng
lífinu	nheþg
til	ae
fulls	lheesf
.	.

Allir	fokfn
vilja	sfg3fn
vera	sng
hamingjusamir	lkfnsf
og	c
raun	nveþ
er	sfg3en
það	fphen
undir	aþ
einstaklingunum	nkfþg
komið	sþghen
hvort	c
þeir	fpkfn
séu	svg3fn
það	fphen
.	.

Það	fphen
er	sfg3en
hægt	lhensf
að	cn
svekkja	sng
sig	fpkeo
yfir	aþ
ótrúlegustu	lkfþve
hlutum	nkfþ
og	c
hugsa	sng
um	ao
allt	foheo
það	faheo
sem	ct
maður	nken
á	sfg3en
ekki	aa
og	c
um	ao
öll	fohfo
mistökin	nhfog
og	c
erfiðleikana	nkfog
sem	ct
maður	nken
hefði	svg3eþ
getað	ssg
komist	ssm
hjá	aa
en	c
það	fphen
gerir	sfg3en
manni	nkeþ
ekkert	foheo
gott	lheosf
.	.

Um	ao
leið	nveo
og	c
maður	nken
er	sfg3en
ánægður	lkensf
með	ao
það	faheo
sem	ct
maður	nken
hefur	sfg3en
og	c
sættir	sfg3en
sig	fpkeo
við	ao
lífið	nheog
þá	aa
verður	sfg3en
maður	nken
hamingjusamur	lkensf
.	.

Það	fphen
er	sfg3en
mikilvægt	lhensf
að	cn
gera	sng
sér	fpkeþ
grein	nveo
fyrir	aþ
því	fpheþ
að	c
grasið	nheng
er	sfg3en
ekki	aa
alltaf	aa
grænna	lhenvm
hinu	faheþ
megin	aa
þó	aa
það	fphen
virðist	svm3en
vera	sng
það	fphen
.	.

Það	fphen
er	sfg3en
engin	foven
spurning	nven
að	c
ánægður	lkensf
og	c
hamingjusamur	lkensf
maður	nken
fær	sfg3en
meira	lheovm
út	aa
úr	aþ
lífinu	nheþg
en	c
sá	faken
sem	ct
er	sfg3en
óhamingjusamur	lkensf
.	.

Hann	fpken
er	sfg3en
líklegri	lkenvm
til	ae
að	cn
líta	sng
björtum	lhfþsf
augum	nhfþ
á	ao
framtíðina	nveog
og	c
sjá	sng
það	faheo
jákvæða	lheovf
þegar	c
allt	fohen
virðist	sfm3en
ómögulegt	lhensf
.	.

Lífsviðhorf	nhen
fólks	nhee
skiptir	sfg3en
því	aa
miklu	lheþsf
máli	nheþ
þegar	c
takast	snm
þarf	sfg3en
á	aa
við	ao
hlutina	nkfog
.	.

Fólk	nhen
getur	sfg3en
ákveðið	ssg
hvort	c
það	fphen
læri	svg3en
af	aþ
mistökunum	nhfþg
eða	c
hvort	c
þau	fphfn
brjóti	svg3fn
það	fpheo
niður	aa
.	.

Ef	c
við	fp1fn
gerum	sfg1fn
mistök	nhfo
þá	aa
er	sfg3en
það	fphen
allt	fohen
í	aþ
lagi	nheþ
því	fpheþ
við	fp1fn
erum	sfg1fn
bara	aa
mannleg	lhfnsf
.	.

Það	fphen
er	sfg3en
mikilvægt	lhensf
að	cn
muna	sng
að	c
lífið	nheng
heldur	sfg3en
áfram	aa
þrátt	aa
fyrir	ao
erfiðleika	nkfo
og	c
sorgarstundir	nvfo
og	c
það	fphen
stoðar	sfg3en
lítið	aa
að	cn
brjóta	sng
sjálfan	fbkeo
sig	fpkeo
niður	aa
.	.

Lífsglöðu	lheþsf
fólki	nheþ
gengur	sfg3en
oftast	aae
vel	aa
í	aþ
lífinu	nheþg
,	,
það	fphen
er	sfg3en
jákvætt	lhensf
og	c
tekur	sfg3en
hlutunum	nkfþg
eins	aa
og	c
þeir	fpkfn
gerast	sfm3fn
.	.

Maður	nken
finnur	sfg3en
vel	aa
að	c
þegar	c
maður	nken
er	sfg3en
léttur	lkensf
í	aþ
lund	nveþ
og	c
gefur	sfg3en
af	aþ
sér	fpkeþ
þá	aa
fær	sfg3en
maður	nken
það	fpheo
svo	aa
margfalt	aa
tilbaka	aa
.	.

Eitt	tfhen
lítið	lhensf
bros	nhen
og	c
þolinmæði	nven
geta	sfg3fn
skipt	ssg
sköpum	nhfþ
í	aþ
samskiptum	nhfþ
okkar	fp1fe
við	ao
annað	foheo
fólk	nheo
og	c
lífsglatt	lhensf
fólk	nhen
dregur	sfg3en
það	faheo
besta	lheove
fram	aa
í	aþ
öðrum	fokfþ
.	.

Það	fphen
vill	sfg3en
enginn	foken
umgangast	snm
mannesku	x
sem	ct
er	sfg3en
alltaf	aa
neikvæð	lvensf
og	c
fúl	lvensf
því	fpheþ
hún	fpven
dregur	sfg3en
fólk	nheo
einfaldlega	aa
niður	aa
með	aþ
sér	fpveþ
.	.

Maður	nken
skapar	sfg3en
sjálfur	fbken
aðstæður	nvfo
sínar	fevfo
í	aþ
lífinu	nheþg
að	aþ
mörgu	lheþsf
leyti	nheþ
.	.

Það	fphen
stoðar	sfg3en
lítið	aa
að	cn
verða	sng
svartsýnn	lkensf
og	c
gefast	snm
upp	aa
þegar	c
maður	nken
gengur	sfg3en
í	aa
gegnum	ao
erfiðleika	nkfo
.	.

Erfiðleikarnir	nkfng
þroska	sfg3fn
mann	nkeo
og	c
oftar	aam
en	c
ekki	aa
metum	sfg1fn
við	fp1fn
hlutina	nkfog
meira	aam
eftir	ao
að	cn
hafa	sng
gengið	ssg
í	aa
gegnum	ao
mótlæti	nheo
.	.

Lífið	nheng
heldur	sfg3en
áfram	aa
og	c
okkur	fp1fþ
bjóðast	sfm3fn
alltaf	aa
nýir	lkfnsf
möguleikar	nkfn
.	.

Það	fphen
er	sfg3en
mun	nkeþ
oftar	aam
þannig	aa
að	c
við	fp1fn
nýtum	sfg1fn
ekki	aa
möguleikana	nkfog
sem	ct
við	fp1fn
höfum	sfg1fn
frekar	aam
en	c
að	aþ
okkur	fp1fþ
bjóðist	svm3fn
þeir	fpkfn
ekki	aa
.	.

Þegar	c
maður	nken
er	sfg3en
lífsglaður	lkensf
og	c
ánægður	lkensf
yfir	aþ
lífinu	nheþg
þá	aa
er	sfg3en
auðveldara	lhenvm
að	cn
vera	sng
sáttur	lkensf
við	ao
sjálfan	fbkeo
sig	fpkeo
.	.

Í	ao
stað	nkeo
þess	fphee
að	cn
bæla	sng
alla	fokfo
hæfileikana	nkfog
niður	aa
sem	c
maður	nken
býr	sfg3en
yfir	aa
þá	aa
lætur	sfg3en
maður	nken
á	ao
þá	fpkfo
reyna	sng
og	c
tekur	sfg3en
áhættu	nveo
í	aþ
því	faheþ
sem	ct
maður	nken
gerir	sfg3en
.	.

Stundum	aa
virkar	sfg3en
það	fphen
og	c
stundum	aa
ekki	aa
en	c
ef	c
maður	nken
lætur	sfg3en
ekki	aa
á	ao
þá	fpkfo
reyna	sng
þá	aa
kemst	sfm3en
maður	nken
aldrei	aa
að	aþ
því	fpheþ
hvers	fshee
megnugur	lkensf
maður	nken
er	sfg3en
.	.

Fólk	nhen
á	sfg3en
að	cn
líta	sng
jákvæðum	lhfþsf
augum	nhfþ
á	ao
lífið	nheog
og	c
virða	sng
það	fpheo
.	.

Lífið	nheng
er	sfg3en
fullt	lhensf
af	aþ
tækifærum	nhfþ
og	c
það	fphen
er	sfg3en
miklu	lheþsf
auðveldara	lhenvm
að	cn
sjá	sng
og	c
nýta	sng
þau	fphfo
ef	c
maður	nken
er	sfg3en
ánægður	lkensf
og	c
lífsglaður	lkensf
.	.

Ég	fp1en
tel	sfg1en
að	c
allir	fokfn
geta	sfg3fn
verið	ssg
lífsglaðir	lkfnsf
þó	aa
svo	aa
aðstæður	nvfn
sumra	fokfe
virðast	sfm3fn
ekki	aa
benda	sng
til	ae
þess	fphee
.	.

Það	fphen
er	sfg3en
í	aþ
raun	nveþ
mjög	aa
huglægt	lhensf
mat	nhen
hvort	c
maður	nken
sé	svg3en
hamingjusamur	lkensf
eða	c
ekki	aa
,	,
maður	nken
ákveður	sfg3en
það	fpheo
að	aþ
miklu	lheþsf
leyti	nheþ
sjálfur	fbken
.	.

Þegar	c
maður	nken
áttar	sfg3en
sig	fpkeo
á	aþ
því	fpheþ
hvað	fshen
það	fphen
er	sfg3en
sem	ct
gerir	sfg3en
mann	nkeo
hamingjusaman	lkeosf
þá	aa
er	sfg3en
líka	aa
auðveldara	lhenvm
að	cn
nýta	sng
möguleikana	nkfog
sem	ct
manni	nkeþ
bjóðast	sfm3fn
.	.

Staðreyndin	nveng
er	sfg3en
sú	faven
að	c
lífsglatt	lhensf
fólk	nhen
er	sfg3en
yfirleitt	aa
hamingjusamt	lhensf
og	c
nýtir	sfg3en
þá	fakfo
möguleika	nkfo
sem	ct
það	fphen
fær	sfg3en
en	c
það	fphen
skapar	sfg3en
sér	fpheþ
líka	aa
möguleikana	nkfog
að	aþ
mörgu	lheþsf
leyti	nheþ
.	.

Af	aþ
öllum	fohfþ
tækifærunum	nhfþg
sem	ct
okkur	fp1fþ
bjóðast	sfm3fn
er	sfg3en
lífið	nheng
sjálft	fbhen
er	sfg3en
það	fahen
stærsta	lhenve
sem	ct
við	fp1fn
fáum	sfg1fn
og	c
við	fp1fn
eigum	sfg1fn
að	cn
njóta	sng
þess	fphee
.	.

Eins	aa
og	c
sagt	sþghen
er	sfg3en
þá	aa
er	sfg3en
lífið	nheng
leikur	nken
og	c
við	fp1fn
eigum	sfg1fn
að	cn
nýta	sng
það	fpheo
til	ae
fulls	lheesf
og	c
enginn	foken
gerir	sfg3en
það	fpheo
betur	aam
en	c
lífsglaður	lkensf
maður	nken
.	.

Verslóritgerðir	nvfn-s
2004	ta
,	,
strákar	nkfn

Tónlist	nven
-	-
förunautur	nken
í	aþ
dagsins	nkeeg
önn	nveþ

Góð	lvensf
tónlist	nven
er	sfg3en
eyrnakonfekt	nhen
en	c
einnig	aa
er	sfg3en
til	aa
tónlist	nven
sem	ct
sumir	fokfn
myndu	svg3fþ
kalla	sng
hljóðmengun	nveo
.	.

Að	cn
hlusta	sng
á	ao
tónlist	nveo
er	sfg3en
góð	lvensf
skemmtun	nven
,	,
flestir	lkfnse
hlusta	sfg3fn
á	ao
tónlist	nveo
og	c
eru	sfg3fn
ekki	aa
margir	lkfnsf
sem	ct
fyrirlíta	sfg3fn
þá	faveo
list	nveo
,	,
mætti	svg3eþ
jafnvel	aa
segja	sng
að	c
tónlist	nven
sé	svg3en
ómissandi	lkenof
hlutur	nken
í	aþ
daglegu	lheþsf
lífi	nheþ
.	.

Eins	aa
lengi	aa
og	c
elstu	lkfnve
menn	nkfn
muna	sfg3fn
og	c
langt	aa
fyrir	ao
þeirra	fpkfe
tíma	nkeo
hefur	sfg3en
tónlist	nven
spilað	ssg
stórt	lheosf
hlutverk	nheo
í	aþ
samfélaginu	nheþg
.	.

Tónsmiðir	nkfn
á	ao
borð	nheo
við	ao
Chopin	e
og	c
Mozart	e
lifðu	sfg3fþ
fyrir	ao
tónlistina	nveog
og	c
enn	aa
í	ao
dag	nkeo
eru	sfg3fn
verk	nhfn
þeirra	fpkfe
flutt	sþghfn
af	aþ
sinfóníuhljómsveitum	nvfþ
um	ao
allan	fokeo
heim	nkeo
.	.

Ekki	aa
verður	sfg3en
hjá	aþ
því	fpheþ
komist	sþmhen
að	cn
segja	sng
að	c
tónlist	nven
fylgi	svg3en
flestum	lkfþse
á	aþ
hverjum	fokeþ
degi	nkeþ
þar	aa
sem	c
tónlist	nven
hljómar	sfg3en
út	aa
um	ao
allt	foheo
,	,
alls	fokee
staðar	nkee
,	,
út	aa
um	ao
allan	fokeo
heim	nkeo
.	.

Ég	fp1en
ætla	sfg1en
aðeins	aa
að	cn
fjalla	sng
um	ao
tónlist	nveo
,	,
hvernig	aa
hún	fpven
hefur	sfg3en
fylgt	ssg
okkur	fp1fþ
um	ao
árin	nhfog
,	,
tónlistarstefnur	nvfo
og	c
nokkra	fokfo
tónlistamenn	nkfo
.	.

Tónlist	nven
í	aþ
aldanna	nvfeg
rás	nveþ

Tónlist	nven
hefur	sfg3en
þróast	ssm
í	aa
gegnum	ao
árin	nhfog
,	,
líkt	aa
og	c
smekkur	nken
fólks	nhee
á	aþ
flest	aae
öllum	fokfþ
hlutum	nkfþ
,	,
fyrr	aam
á	aþ
öldum	nvfþ
voru	sfg3fþ
töfrar	nkfn
tónlistarinnar	nveeg
skapaðir	sþgkfn
af	aþ
mönnum	nkfþ
eins	aa
og	c
Mozart	e
,	,
Beethoven	e
,	,
Chopin	e
og	c
Bach	e
þessir	fakfn
