Fossavatnsgangan	nvengs
úr	aþ
stækkuninni	nveþg
fékk	sfg1eþ
ég	fp1en
fjörutíu	tfhfo
sæti	nhfo
til	ae
viðbótar	nvee
og	c
rúmar	sfg3en
Klörubar	nken-s
nú	aa
um	aa
170	ta
manns	nkee
í	ao
sæti	nhfo
með	aþ
góðu	lheþsf
móti	nheþ
.	.

Það	fphen
hafa	sfg3fn
þó	aa
aldrei	aa
jafnmargir	lkfnsf
setið	ssg
til	ae
borðs	nhee
hjá	aþ
mér	fp1eþ
og	c
á	ao
páskadagskvöld	nheo
,	,
en	c
þá	aa
komu	sfg3fþ
205	ta
manns	nkee
í	ao
mat	nkeo
og	c
borðuðu	sfg3fþ
af	aþ
hátíðarmatseðli	nkeþ
,	,
sem	ct
við	fp1fn
erum	sfg1fn
alltaf	aa
með	aa
páskum	nkfþ
,	,
jólum	nhfþ
og	c
áramótum	nhfþ
,	,
segir	sfg3en
Klara	nven-s
og	c
bætir	sfg3en
við	aa
að	c
hangikjöt	nhen
,	,
hamborgarhryggur	nken
og	c
heilsteiktar	lvfnsf
nautalundir	nvfn
tilheyri	svg3fn
gjarnan	aa
hátíðarmatseðlunum	nkfþg
.	.

Sumarfrí	nhen
í	aþ
maí	nkeþ
og	c
júní	nkeþ
Að	aþ
sögn	nveþ
Klöru	nvee-s
byrjar	sfg3en
fólk	nhen
að	cn
hringja	sng
og	c
panta	sng
borð	nheo
um	ao
hátíðar	nvfo
í	aþ
júlí	nkeþ
og	c
ágúst	nkeþ
fyrir	ao
jól	nhfo
,	,
áramót	nhfo
og	c
páska	nkfo
um	ao
leið	nveo
og	c
Kanaríeyjaferðin	nvengs
er	sfg3en
pöntuð	sþgven
og	c
skipulögð	sþgven
.	.

Því	aa
er	sfg3en
óhætt	lhensf
að	cn
segja	sng
að	c
færri	lkfnvm
komist	svm3fn
að	aa
en	c
vilja	sfg3fn
í	ao
hátíðarmatinn	nkeog
á	aþ
Klörubar	nkeþ-s
.	.

Hjá	aþ
Klöru	nveþ-s
starfa	sfg3fn
fimmtán	tfkfn
starfsmenn	nkfn
,	,
en	c
nú	aa
líður	sfg3en
að	aþ
því	fpheþ
að	c
þeir	fpkfn
fái	svg3fn
tveggja	tfkfe
mánaða	nkfe
frí	nheo
enda	c
segist	sfm3en
íslenska	lvenvf
veitingakonan	nveng
loka	sng
í	aþ
maí	nkeþ
og	c
júní	nkeþ
ár	nheo
hvert	foheo
.	.

Sjálf	fbven
ætla	sfg1en
ég	fp1en
að	cn
byrja	sng
á	aþ
því	fpheþ
að	cn
fara	sng
í	ao
frí	nheo
á	ao
meginland	nheo
Spánar	nkee-s
og	c
svo	aa
ætla	sfg1en
ég	fp1en
bara	aa
að	cn
sjá	sng
til	aa
hvað	fsheo
ég	fp1en
geri	sfg1en
við	ao
restina	nveog
af	aþ
fríinu	nheþg
.	.

Ég	fp1en
hef	sfg1en
svo	aa
ákveðið	ssg
að	cn
skreppa	sng
heim	aa
til	ae
Íslands	nhee-s
í	ao
tvær	tfvfo
vikur	nvfo
í	aþ
júlí	nkeþ
.	.

Ég	fp1en
hef	sfg1en
ekki	aa
verið	ssg
mjög	aa
dugleg	lvensf
við	ao
að	cn
fara	sng
til	ae
Íslands	nhee-s
á	aþ
síðari	lhfþvm
árum	nhfþ
,	,
en	c
við	fp1fn
systkinin	nhfng
höfum	sfg1fn
haft	ssg
það	fpheo
fyrir	ao
venju	nveo
að	cn
hittast	snm
annað	foheo
hvert	foheo
ár	nheo
á	aþ
miðri	lveþsf
leið	nveþ
á	aþ
Costa	e
Brava-ströndinni	nveþgs
rétt	aa
fyrir	ao
norðan	aa
Barcelona	e
þar	aa
sem	c
við	fp1fn
hjónin	nhfng
áður	aa
en	c
við	fp1fn
fluttum	sfg1fþ
til	ae
Kanaríeyja	nvfe-s
.	.

Þá	aa
eigum	sfg1fn
við	fp1fn
voða	nkee
notalega	lkfosf
daga	nkfo
saman	aa
.	.

join@mbl.is	v

Heimavöllur	nken
knattspyrnuliðsins	nheeg
Real	e
Madrid	e
,	,
Bernabeu	e
,	,
getur	sfg3en
verið	ssg
aðdráttarafl	nhen
fyrir	ao
marga	lkfosf
ferðamenn	nkfo
sem	ct
koma	sfg3fn
til	ae
Spánar	nkee-s
.	.

Sama	fbkeo
dag	nkeo
og	c
leikir	nkfn
fara	sfg3fn
fram	aa
er	sfg3en
hægt	lhensf
að	cn
kaupa	sng
miða	nkfo
í	ao
VIP-sæti	nhfo-s
og	c
þegar	c
ekki	aa
er	sfg3en
verið	sþghen
að	cn
spila	sng
er	sfg3en
hægt	lhensf
að	cn
fara	sng
í	ao
skoðunarferð	nveo
um	ao
leikvanginn	nkeog
og	c
snæða	sng
á	aþ
veitingastað	nkeþ
sem	ct
opnaður	sþgken
verður	sfg3en
í	aþ
þessum	fakeþ
mánuði	nkeþ
,	,
að	aþ
því	fpheþ
er	ct
fram	aa
kemur	sfg3en
í	aþ
fréttabréfinu	nheþg
Spaniabulletinen	e
.	.

Einnig	aa
er	sfg3en
boðið	sþghen
upp	aa
á	ao
dagskrá	nveo
fyrir	ao
yngri	lhfovm
lið	nhfo
frá	aþ
útlöndum	nhfþ
sem	c
liðið	nheng
fær	sfg3en
leiðsögn	nveo
um	ao
völlinn	nkeog
og	c
gefst	sfm3en
kostur	nken
á	aþ
að	cn
æfa	sng
með	aþ
fyrrum	aa
leikmönnum	nkfþ
Real	e
Madrid	e
.	.

Nánari	lvfnvm
upplýsingar	nvfn
á	aþ
www.realmadrid.es	v

Hvers	fshee
vegna	ae
Húnavatnssýslan	nvengs
?	?

Það	fphen
var	sfg3eþ
útlit	nhen
fyrir	ao
að	c
þessa	fakfo
daga	nkfo
yrði	svg3eþ
gott	lhensf
veður	nhen
í	aþ
Húnavatnssýslunni	nveþgs
svo	aa
við	fp1fn
ákváðum	sfg1fþ
að	cn
fara	sng
þangað	aa
.	.

Elín	nven-s
er	sfg3en
ákaflega	aa
veðurglögg	lvensf
og	c
veit	sfg3en
því	aa
hvert	aa
er	sfg3en
best	lhense
að	cn
fara	sng
.	.

Aðstaðan	nveng
á	aþ
tjaldsvæðinu	nheþg
í	aþ
Dæli	nheþ-s
í	aþ
Víðidal	nkeþ-s
er	sfg3en
sérstaklega	aa
góð	lvensf
,	,
þar	aa
er	sfg3en
skjólgott	lhensf
og	c
svo	aa
eru	sfg3fn
eigendurnir	nkfng
með	ao
upphitað	lheosf
þjónustuhús	nheo
með	aþ
aðstöðu	nveþ
til	ae
eldunar	nvee
og	c
borðhalds	nhee
.	.

Þar	aa
eru	sfg3fn
líka	aa
smáhýsi	nhfn
til	ae
leigu	nvee
og	c
er	sfg3en
á	aþ
tjaldsvæðinu	nheþg
.	.

Svo	aa
er	sfg3en
endalaust	aa
hægt	lhensf
að	cn
finna	sng
sér	fpkeþ
gönguleiðir	nvfo
og	c
staði	nkfo
til	ae
að	cn
skoða	sng
á	aþ
svæðinu	nheþg
.	.

Í	aþ
Hindisvík	nveþ-s
,	,
sem	ct
er	sfg3en
fremst	aae
á	aþ
Vatnsnesi	nheþ-s
,	,
var	sfg3eþ
18	ta
stiga	nhfe
hiti	nken
,	,
sólskin	nhen
og	c
logn	nhen
á	ao
annan	fokeo
sumardag	nkeo
.	.

Við	fp1fn
ætluðum	sfg1fþ
varla	aa
að	cn
geta	sng
farið	ssg
þaðan	aa
.	.

Annars	aa
var	sfg3eþ
hitinn	nkeng
um	aa
12	ta
til	ae
15	ta
stig	nhfn
yfir	ao
daginn	nkeog
en	c
fór	sfg3eþ
niður	aa
í	ao
núllið	nheog
á	aþ
nóttunni	nveþg
.	.

Eruð	sfg2fn
þið	fp2fn
búin	lhfnsf
að	cn
fara	sng
víða	aa
?	?

Við	fp1fn
erum	sfg1fn
farin	sþghfn
að	cn
ferðast	snm
um	ao
landið	nheog
á	ao
annan	fokeo
hátt	nkeo
en	c
áður	aa
,	,
við	fp1fn
skoðum	sfg1fn
það	fpheo
í	aþ
raun	nveþ
og	c
með	aþ
stækkunargleri	nheþ
.	.

Það	fphen
er	sfg3en
endalaust	aa
hægt	lhensf
að	cn
finna	sng
nýja	lkfosf
staði	nkfo
,	,
en	c
maður	nken
þarf	sfg3en
oft	aa
að	cn
spyrjast	snm
fyrir	aa
um	ao
þá	fpkfo
.	.

Sem	c
betur	aam
fer	sfg3en
hefur	sfg3en
orðið	ssg
mikil	lvensf
aukning	nven
í	aþ
að	cn
merkja	sng
gönguleiðir	nvfo
og	c
gera	sng
kort	nhfo
.	.

Manni	nkeþ
endist	sfm3en
ekki	aa
ævin	nveng
í	aþ
að	cn
skoða	sng
þetta	faheo
fallega	lheovf
land	nheo
okkar	fp1fe
.	.

Ferðist	sfm2fn
þið	fp2fn
alltaf	aa
tvö	tfhfn
saman	aa
?	?

Litla	lhenvf
ferðafélagið	nheng
er	sfg3en
hópur	nken
af	aþ
vinafjölskyldum	nvfþ
sem	ct
hefur	sfg3en
ferðast	ssm
saman	aa
í	ao
25	ta
ár	nhfo
eða	c
lengur	aam
og	c
höfum	sfg1fn
við	fp1fn
verið	ssg
í	aþ
því	fpheþ
frá	aþ
upphafi	nheþ
.	.

Við	fp1fn
förum	sfg1fn
einnig	aa
hvert	fohen
í	aþ
sínu	feheþ
lagi	nheþ
og	c
misjafnt	lhensf
hversu	aa
lengi	aa
er	sfg3en
haldið	sþghen
út	aa

Við	fp1fn
hjónin	nhfng
náum	sfg1fn
að	cn
fara	sng
í	ao
25	ta
til	ae
35	ta
nætur	nvfo
í	ao
útilegur	nvfo
á	aþ
ári	nheþ
.	.

Fyrir	aþ
tveimur	tfhfþ
árum	nhfþ
urðu	sfg3fþ
útilegunæturnar	nvfng
42	ta
,	,
sem	ct
okkur	fp1fþ
þótti	sfg3eþ
afbragð	nhen
.	.

Í	ao
ár	nheo
og	c
í	ao
fyrra	lheovm
hófum	sfg1fþ
við	fp1fn
útilegur	nvfo
á	ao
sumardaginn	nkeog
fyrsta	lkeove
en	c
oftast	aae
áður	aa
ekki	aa
fyrr	aam
en	c
í	aþ
maí	nkeþ
.	.

Vorið	nheng
er	sfg3en
skemmtilegur	lkensf
tími	nken
,	,
gróðurinn	nkeng
er	sfg3en
að	cn
blómstra	sng
og	c
fuglasöngur	nken
er	sfg3en
í	aþ
hámarki	nheþ
.	.

Á	ao
haustin	nhfog
er	sfg3en
gaman	nhen
að	cn
fara	sng
út	aa
fyrir	ao
upplýst	lheosf
þéttbýlið	nheog
,	,
sitja	sng
úti	aa
á	aþ
myrkum	lhfþsf
kvöldum	nhfþ
og	c
skoða	sng
stjörnurnar	nvfog
og	c
norðurljósin	nhfog
.	.

Fólk	nhen
getur	sfg3en
notið	ssg
þessara	favfe
tveggja	tfvfe
árstíða	nvfe
miklu	lheþsf
betur	aam
en	c
gerir	sfg3en
.	.

Útilegutíminn	nkeng
er	sfg3en
í	aþ
raun	nveþ
fimm	tfkfn
mánuðir	nkfn
.	.

Eitt	fohen
sem	ct
þarf	sfg3en
að	cn
hafa	sng
í	aþ
huga	nkeþ
þegar	c
maður	nken
fer	sfg3en
á	aþ
þessum	fakeþ
árstíma	nkeþ
er	sfg3en
að	cn
hringja	sng
á	aa
undan	aþ
sér	fpkeþ
því	fpheþ
oft	aa
er	sfg3en
jarðvegurinn	nkeng
svo	aa
blautur	lkensf
að	c
ekki	aa
er	sfg3en
hægt	lhensf
að	cn
hleypa	sng
bílum	nkfþ
og	c
vögnum	nkfþ
inn	aa
á	ao
tjaldstæðin	nhfog
.	.

Maður	nken
verður	sfg3en
að	cn
haga	sng
sér	fpkeþ
eftir	aþ
veðri	nheþ
og	c
aðstæðum	nvfþ
.	.

Farið	sfg2fn
þið	fp2fn
þá	aa
ekki	aa
til	ae
útlanda	nhfe
á	ao
sumrin	nhfog
?	?

Við	fp1fn
erum	sfg1fn
bæði	c
mjög	aa
hrifin	lhfnsf
af	aþ
náttúrunni	nveþg
og	c
að	cn
fara	sng
í	ao
útilegu	nveo
er	sfg3en
okkar	fp1fe
áhugamál	nhen
yfir	ao
sumarið	nheog
.	.

Þótt	c
það	fphen
sé	svg3en
gaman	nhen
að	cn
vera	sng
erlendis	aa
þá	aa
gætum	svg1fþ
ekki	aa
hugsað	ssg
okkur	fp1fþ
að	cn
vera	sng
neinsstaðar	aa
annarsstaðar	aa
en	c
í	aþ
íslensku	lheþsf
sumri	nheþ
.	.

Það	fphen
er	sfg3en
ekkert	fohen
sem	ct
jafnast	sfm3en
á	aa
við	ao
það	fpheo
.	.

Við	fp1fn
höfum	sfg1fn
verið	ssg
gift	lhfnsf
í	ao
38	ta
ár	nhfo
og	c
höfum	sfg1fn
bæði	c
mikinn	lkeosf
áhuga	nkeo
á	aþ
náttúrunni	nveþg
,	,
heilsu	nveþ
og	c
hreyfingu	nveþ
.	.

Fyrirtækið	nheng
sem	ct
við	fp1fn
vinnum	sfg1fn
við	aa
,	,
Sagamedica-Heilsujurtir	nvfn-s
ehf.	as
,	,
tengir	sfg3en
okkur	fp1fo
líka	aa
við	ao
náttúruna	nveog
.	.

En	c
við	fp1fn
framleiðum	sfg1fn
náttúruvörur	nvfo
úr	aþ
íslenskri	lveþsf
ætihvönn	nveþ
.	.

Ferðinni	nveþg
er	sfg3en
því	aa
oft	aa
heitið	sþghen
á	ao
landsvæði	nhfo
þar	aa
sem	c
hvönnin	nveng
er	sfg3en
mest	lvense
.	.

Við	fp1fn
hjónin	nhfng
erum	sfg1fn
heppin	lhfnsf
að	cn
geta	sng
stundað	ssg
áhugamál	nhfo
og	c
vinnu	nveo
saman	aa
.	.

Hvenær	aa
á	sfg3en
svo	aa
að	cn
næst	aae
í	ao
útilegu	nveo
?	?

Næsta	lvenve
útilega	nven
verður	sfg3en
líklega	aa
um	ao
komandi	lveoof
helgi	nveo
.	.

Við	fp1fn
erum	sfg1fn
byrjuð	sþghfn
að	cn
spá	sng
í	ao
veðurfarið	nheog
og	c
ef	c
það	fphen
leyfir	sfg3en
þá	aa
verður	sfg3en
farið	sþghen
,	,
en	c
það	fphen
verður	sfg3en
að	cn
vera	sng
þurrt	lhensf
og	c
sæmilega	aa
hlýtt	lhensf
.	.

Það	fphen
eiga	sfg3fn
allir	fokfn
orðið	aa
svo	aa
góð	lhfosf
tæki	nhfo
til	ae
að	cn
fara	sng
í	ao
útilegu	nveo
og	c
fólk	nhen
á	sfg3en
að	cn
nýta	sng
þau	fphfo
betur	aam
en	c
það	fphen
gerir	sfg3en
.	.

Svo	aa
er	sfg3en
til	aa
svo	aa
mikið	lhensf
af	aþ
fallegum	lhfþsf
tjaldstæðum	nhfþ
.	.

Nú	aa
er	sfg3en
bara	aa
að	cn
vona	sng
að	c
þetta	fahen
verði	svg3en
gott	lhensf
útilegusumar	nhen
og	c
að	c
við	fp1fn
getum	svg1fn
verið	ssg
í	aþ
útilegu	nveþ
fram	aa
í	ao
september	nkeo
eins	aa
og	c
undanfarin	lhfosf
ár	nhfo

Eftir	ao
Jóhönnu	nveo-s
Ingvarsdóttur	nveo-s
join@mbl.is	v
Ragnhildur	nven-s
Sophusdóttir	nven-s
er	sfg3en
á	aþ
29.	ta
aldursári	nheþ
.	.

Ég	fp1en
flutti	sfg1eþ
í	ao
Garðabæ	nkeo-s
15	ta
ára	nhfe
og	c
myndi	svg1eþ
segjast	snm
vera	sng
Garðbæingur	nken-s
ef	c
spurð	sþgven
.	.

Ég	fp1en
myndi	svg1eþ
hvergi	aa
annars	fokee
staðar	nkee
vilja	sng
búa	sng
en	c
í	aþ
Garðabæ	nkeþ-s
ef	c
ég	fp1en
væri	svg1eþ
á	aþ
Íslandi	nheþ-s
.	.

Bærinn	nkeng
er	sfg3en
yndislegur	lkensf
og	c
þar	aa
er	sfg3en
gott	lhensf
fólk	nhen
,	,
segir	sfg3en
Ragnhildur	nven-s
,	,
sem	ct
útskrifaðist	sfm3eþ
sem	c
lögfræðingur	nken
frá	aþ
Háskóla	nkeþ-s
Íslands	nhee-s
í	aþ
júní	nkeþ
árið	nheog
2003	ta
.	.

Hún	fpven
starfaði	sfg3eþ
hjá	aþ
Sýslumanninum	nkeþgs
í	aþ
Kópavogi	nkeþ-s
frá	aþ
janúar	nkeþ
2003	ta
til	ae
desember	nkee
sama	fbheo
ár	nheo
,	,
en	c
þá	aa
fluttist	sfm3eþ
hún	fpven
til	ae
Mallorka	e
.	.

-	-
Hvað	fshen
varð	sfg3eþ
til	ae
þess	fphee
að	c
ákvaðst	sfg2eþ
að	cn
breyta	sng
svona	aa
til	aa
í	aþ
lífinu	nheþg
?	?

Ég	fp1en
myndi	svg1eþ
ekki	aa
segja	sng
að	c
ég	fp1en
hafi	svg1en
yfirgefið	ssg
lögfræðistéttina	nveog
nema	c
tímabundið	aa
.	.

Mig	fp1eo
hefur	sfg3en
langað	ssg
að	cn
vera	sng
lögfræðingur	nken
frá	aþ
12	ta
ára	nhfe
aldri	nkeþ
og	c
efast	sfm1en
um	ao
að	c
ég	fp1en
geti	svg1en
verið	ssg
lengi	aa
frá	aþ
því	fpheþ
að	cn
stunda	sng
lögfræðistörf	nhfo
.	.

En	c
ég	fp1en
hef	sfg1en
alltaf	aa
þurft	ssg
að	cn
hafa	sng
mikið	lheosf
fyrir	aþ
stafni	nkeþ
og	c
einhver	fohfo
ný	lhfosf
verkefni	nhfo
til	ae
að	cn
takast	snm
á	aa
við	aa
.	.

Aðdragandi	nken
þess	fphee
að	c
ég	fp1en
keypti	sfg1eþ
veitingastað	nkeo
á	aþ
Spáni	nkeþ-s
er	sfg3en
í	aþ
raun	nveþ
langur	lkensf
og	c
mætti	svg3eþ
segja	sng
að	c
þetta	fahen
hafi	svg3en
allt	fohen
byrjað	ssg
árið	nheog
1995	ta
þegar	c
ég	fp1en
og	c
vinkona	nven
mín	feven
Ásdís	nven-s
Pálmadóttir	nven-s
fórum	sfg1fþ
til	ae
Mallorka	e
að	cn
vinna	sng
á	aþ
skemmtistað	nkeþ
yfir	ao
sumarið	nheog
.	.

Við	fp1fn
fórum	sfg1fþ
einnig	aa
út	ao
sumrin	nhfog
1996	ta
og	c
1997	ta
til	ae
að	cn
vinna	sng
á	aþ
sama	fbkeþ
stað	nkeþ
.	.

Árin	nhfog
2000	ta
og	c
2001	ta
vann	sfg1eþ
ég	fp1en
síðan	aa
sem	c
fararstjóri	nken
Úrvals-Útsýnar	nveegs
á	aþ
Mallorka	e
og	c
eignaðist	sfm1eþ
góða	lkfosf
vini	nkfo
þar	aa
og	c
fór	sfg1eþ
nokkrum	fohfþ
sinnum	nhfþ
á	aþ
ári	nheþ
í	ao
heimsókn	nveo
.	.

Það	fphen
má	sfg3en
því	aa
í	aþ
raun	nveþ
segja	sng
að	c
ég	fp1en
hafi	svg1en
verið	ssg
með	ao
annan	fokeo
fótinn	nkeog
á	aþ
Mallorka	e
síðastliðin	lhfosf
tíu	tfhfo
ár	nhfo
og	c
það	fphen
kom	sfg3eþ
reyndar	aa
engum	fokeþ
á	ao
óvart	lheosf
þegar	c
ég	fp1en
sagðist	sfm1eþ
ætla	sng
að	cn
flytjast	snm
út	aa
í	aþ
nóvember	nkeþ
2003	ta
.	.

Veitingahúsakaupin	nhfng
komu	sfg3fþ
aftur	aa
á	aa
móti	aa
mörgum	lkfþsf
á	aa
þar	aa
sem	c
ég	fp1en
hafði	sfg1eþ
enga	foveo
reynslu	nveo
af	aþ
veitingarekstri	nkeþ
og	c
var	sfg1eþ
algjör	lkensf
nýgræðingur	nken
í	aþ
faginu	nheþg
.	.

Ætli	svg3en
mér	fp1eþ
hafi	svg3en
ekki	aa
bara	aa
þótt	c
þetta	fahen
nýtt	lhensf
og	c
spennandi	lhenof
verkefni	nhen
til	ae
að	cn
takast	snm
á	aa
við	aa
.	.

Fallegasti	lkenve
staðurinn	nkeng
á	aþ
eyjunni	nveþg

Restaurant	e
Deia	e
er	sfg3en
í	aþ
samnefndum	lkeþsf
bæ	nkeþ
.	.

Þegar	c
ég	fp1en
var	sfg1eþ
fararstjóri	nken
fór	sfg1eþ
ég	fp1en
nokkrum	fohfþ
sinnum	nhfþ
til	ae
Deia	e
,	,
þar	aa
sem	c
bærinn	nkeng
telst	sfm3en
vera	sng
fallegasti	lkenve
staðurinn	nkeng
á	aþ
eyjunni	nveþg
og	c
alltaf	aa
fékk	sfg1eþ
ég	fp1en
mér	fp1eþ
að	cn
borða	sng
á	aþ
þessum	fakeþ
veitingastað	nkeþ
þar	aa
sem	c
útsýnið	nheng
af	aþ
veröndinni	nveþg
er	sfg3en
hreint	aa
stórfenglegt	lhensf
.	.

Ég	fp1en
tók	sfg1eþ
í	ao
mig	fp1eo
að	c
þennan	fakeo
stað	nkeo
yrði	svg1eþ
ég	fp1en
að	cn
eignast	snm
þá	aa
varð	sfg3eþ
ekki	aa
aftur	aa
snúið	sþghen
.	.

-	-
Hvernig	aa
hefur	sfg3en
nýgræðingnum	nkeþg
svo	aa
gengið	ssg
að	cn
fóta	sng
sig	fpkeo
í	aþ
spænskum	lkeþsf
veitingahúsarekstri	nkeþ
?	?

Það	fphen
hefur	sfg3en
gengið	ssg
mjög	aa
vel	aa
enda	c
hef	sfg1en
ég	fp1en
átt	ssg
góða	lkfosf
að	aa
sem	ct
hafa	sfg3fn
hjálpað	ssg
mér	fp1eþ
að	cn
leysa	sng
þau	fahfo
verkefni	nhfo
,	,
sem	ct
upp	aa
hafa	sfg3fn
komið	ssg
.	.

Hjá	aþ
mér	fp1eþ
starfa	sfg3fn
níu	tfkfn
starfsmenn	nkfn
,	,
þar	aa
af	aa
fjórir	tfkfn
kokkar	nkfn
,	,
og	c
nú	aa
sé	sfg1en
ég	fp1en
fram	aa
á	ao
stækkun	nveo
staðarins	nkeeg
.	.

Ég	fp1en
keypti	sfg1eþ
íbúð	nveo
á	aþ
efri	lveþvm
hæðinni	nveþg
í	aþ
desember	nkeþ
sl.	as
og	c
kem	sfg1en
til	aa
með	aa
að	cn
opna	sng
það	faheo
rými	nheo
í	aþ
næsta	lkeþve
mánuði	nkeþ
.	.

Ég	fp1en
neita	sfg1en
því	fpheþ
þó	aa
ekki	aa
að	c
þetta	fahen
heilmikil	lvensf
vinna	nven
enda	c
er	sfg1en
ég	fp1en
í	aþ
vinnunni	nveþg
nánast	aae
fjórtán	tfkfo
tíma	nkfo
á	ao
dag	nkeo
.	.

Þetta	fahen
